"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=5209376,5211575,5208841,5211578,5209246,5208719,5208668,5209291,5208671,5211455,5209088,5211344,5207981,5208556,5202887,5201126,5202514,5203890,5204813,5202844,5204174,5202710,5204797,5204185,5202515,5203475,5203788,5204190,5202488,5202496,5199877,5194495,5193982,5193809,5197073,5194195,5194291,5197070,5197275,5192394,5197271,5189908,5190006,5190875,5190803,5190795,5190798,5178864,5175923,5176033,5175979,5178587,5175930,5175841,5175911,5174613,5174658,5170487,5171002,5170389,5171028,5171018,5171033,5170982,5171019,5171039,5170512,5170623,5170515,5169462,5167798,5167288,5169280,5169589,5167650,5166839,5166880,5166847,5167057,5163801,5165113,5163334,5160952,5161180,5161187,5158298,5158972,5158497,5158835,5158514,5158425,5159158,5156415,5157028,5156987,5137955,5137904,5138112,5137830,5152030",2017/05/04 22:39:37
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Spatial Visualisation of Conceptual Data","M. Soto; B. L. Grand; M. A. Aufaure","Lab. d'Inf. de Paris 6, Paris, France","2009 13th International Conference Information Visualisation","20090804","2009","","","57","61","Numerous data mining methods have been designed to help extract relevant and significant information from large datasets. Computing concept lattices allows clustering data according to their common features and making all relationships between them explicit. However, the size of such lattices increases exponentially with the volume of data and its number of dimensions. This paper proposes to use spatial pixel-oriented and tree-based visualisations of these conceptual structures in order to optimally exploit their expressivity.","1550-6037;15506037","POD:978-0-7695-3733-7","10.1109/IV.2009.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5190875","Galois lattices;formal conceptual analysis;visualisation","Data analysis;Data mining;Data visualization;Design methodology;Information analysis;Lattices;Navigation;Terminology;Thesauri;Web pages","data mining;data visualisation;information retrieval;pattern clustering;spatial data structures;tree data structures","Galois lattice;Hasse diagram;data clustering;data mining method;data structure;information extraction;spatial conceptual data visualisation;spatial pixel-oriented visualisation;tree-based visualisation","","1","","12","","","15-17 July 2009","","IEEE","IEEE Conference Publications"
"Challenges Towards Elastic Power Management in Internet Data Centers","J. Liu; F. Zhao; X. Liu; W. He","Microsoft Res., Microsoft Corp., Redmond, WA, USA","2009 29th IEEE International Conference on Distributed Computing Systems Workshops","20090707","2009","","","65","72","Data Centers are energy consuming facilities that host Internet services such as cloud computing platforms. Their complex cyber and physical systems bring unprecedented challenges in resource managements. In this paper, we give an overview of the resource provisioning and utilization patterns in data centers and propose a macro-resource management layer to coordinate among cyber-and-physical resources. We review some existing work and solutions in the field and explain their limitations. We give some future research directions and the potential solutions to jointly optimize computing and environmental resources in data centers.","1545-0678;15450678","CD-ROM:978-0-7695-3660-6","10.1109/ICDCSW.2009.44","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5158835","","Cloud computing;Cooling;Costs;Energy consumption;Energy efficiency;Energy management;Internet;Network servers;Power system management;Resource management","Internet;information retrieval systems;power aware computing","Internet data centers;Internet services;cloud computing platforms;elastic power management;energy consuming facilities;resource managements","","35","","30","","","22-26 June 2009","","IEEE","IEEE Conference Publications"
"Component Retrieval Based on Domain Ontology and User Interest","L. Nie; L. Zhong","Dept. of Comput. Sci. & Technol., Wuhan Univ. of Technol., Wuhan, China","2009 International Conference on E-Business and Information System Security","20090630","2009","","","1","4","Based on the analysis of current component retrieval methods in web service, a method of retrieving software components based on domain ontology and user interest was studied and implemented. This paper emphasized the definition of ontology feature domain model, the presentation of component description model based on ontology feature and the retrieval method of user interest. Based on these, it presented the component retrieval framework and an algorithm for retrieving related components. Finally, a component retrieval system was given, and an instance with components in E-Commerce field proved validity comparing with the retrieval methods based on keywords and facet.","2161-5942;21615942","POD:978-1-4244-4589-9","10.1109/EBISS.2009.5137955","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5137955","","Application software;Computer science;Electronic commerce;Mechanical factors;Morphology;Ontologies;Quality of service;Sampling methods;Software reusability;Web services","Web services;electronic commerce;information retrieval;object-oriented programming;ontologies (artificial intelligence)","Web service;component description;component retrieval system;domain ontology;software components retrieval;user interest","","1","","7","","","23-24 May 2009","","IEEE","IEEE Conference Publications"
"European FP7 project ICPCNanoNet facilitates EU - RU networking in nano area","A. S. Ivanov; V. V. Luchinin; M. Morrison","Radio Electronics department at St. Petersburg Electrotechnical University &#191;LETI&#191;, Russia","IEEE EUROCON 2009","20090721","2009","","","1254","1257","ICPCNanoNet has created and launched an online electronic archive of nanoscience and nanotechnology (N&N) publications, where researchers can deposit their own peer-reviewed publications; and an online database for N&N researchers and organisations provide regular information on research expertise, capacities and initiatives with the purpose of promoting collaborative EU - RU research in the nano-area.","","POD:978-1-4244-3860-0","10.1109/EURCON.2009.5167798","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5167798","EU;Russia;collaborative research;electronic archive;nanoarchive;nanoscience;nanotechnology;publication","Abstracts;Collaborative work;Databases;Intelligent networks;International collaboration;Nanoscale devices;Nanostructured materials;Nanotechnology;Online Communities/Technical Collaboration;Production","electronic publishing;groupware;information retrieval systems;nanotechnology;peer-to-peer computing","EU - RU networking;European FP7 project;ICPCNanoNet;nanoscience publications;nanotechnology publications;online database;online electronic archive;peer-reviewed publications","","1","","9","","","18-23 May 2009","","IEEE","IEEE Conference Publications"
"Extraction of distance information from the activity of entorhinal grid cells: a model study","Z. Huhn; Z. Somogyvari; T. Kiss; P. Erdi","Department of Biophysics, KFKI Research Institute for Particle and Nuclear Physics of the Hungarian Academy of Sciences, USA","2009 International Joint Conference on Neural Networks","20090731","2009","","","1298","1303","Most vertebrates are able to make detours and find shortcuts to achieve economical navigation. This ability requires the animal to keep track its direction and distance from specific locations. In rodents, direction of the animal is coded by the activity of <i>head</i> <i>direction</i> <i>cells</i> present in several regions of the brain, but distance information is only indirectly available, through the entorhinal cortical grid cell system. A neural system downstream from the entorhinal cortex seems to be necessary to extract the distance information from the periodic activity of grid cells. We propose that a system of such cells store the distance of the animal from important locations in the dentate gyrus region of the hippocampus and these ldquodistance cellsrdquo might be identified with the dentate granule cells. A computational model is set up to study the neural mechanism of distance information decoding from the ensemble of grids cells. The proposed distance cells receive innervation from entorhinal grid cells, the connection strength between grid cells and distance cells is set by a one-shot-learning rule and the distance cell activity is affected by a winner-take-all mechanism. Simulation results of this model verifies that the activity of the distance cell population is able to unambiguously code the distance of the animal from important places. The proposed distance cells have a multi-peaked, patchy spatial activity pattern similar to the firing pattern of granule cells in dentate gyrus.","2161-4393;21614393","POD:978-1-4244-3548-7","10.1109/IJCNN.2009.5178864","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5178864","","Animals;Biological neural networks;Central nervous system;Data mining;Displays;Hippocampus;Lesions;Monitoring;Neurons;Rats","biology computing;cellular biophysics;information retrieval;zoology","dentate granule cells;dentate gyrus region;distance cell population;distance information decoding;distance information extraction;entorhinal cortical grid cell system;head direction cells;one-shot-learning rule;winner-take-all mechanism","","2","","56","","","14-19 June 2009","","IEEE","IEEE Conference Publications"
"Audio genre classification using percussive pattern clustering combined with timbral features","E. Tsunoo; G. Tzanetakis; N. Ono; S. Sagayama","Graduate School of Information Science and Technology, The University of Tokyo, Japan","2009 IEEE International Conference on Multimedia and Expo","20090818","2009","","","382","385","Many musical genres and styles are characterized by distinct representative rhythmic patterns. In most automatic genre classification systems global statistical features based on timbral dynamics such as mel-frequency cepstral coefficients (MFCC) are utilized but so far rhythmic information has not so effectively been used. In order to extract bar-long unit rhythmic patterns for a music collection we propose a clustering method based on one-pass dynamic programming and k-means clustering. After extracting the fundamental rhythmic patterns for each style/genre a pattern occurrence histogram is calculated and used as a feature vector for supervised learning. Experimental results show that the automatically calculated rhythmic pattern information can be used to effectively classify musical genre/style and improve upon current approaches based on timbral features.","1945-7871;19457871","POD:978-1-4244-4290-4","10.1109/ICME.2009.5202514","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5202514","Audio genre classification;Dynamic programming;Feature extraction;Pattern clustering method;Percussive sound","Clustering algorithms;Data mining;Dynamic programming;Feature extraction;Histograms;Iterative algorithms;Multiple signal classification;Pattern clustering;Rhythm;Spectrogram","audio acoustics;audio signal processing;dynamic programming;feature extraction;information retrieval;musical acoustics;pattern clustering;signal classification","audio genre classification;feature vector;global statistical features;k-means clustering;mel-frequency cepstral coefficients;one-pass dynamic programming;percussive pattern clustering;rhythmic pattern information;supervised learning;timbral features","","7","","13","","","June 28 2009-July 3 2009","","IEEE","IEEE Conference Publications"
"Automatic Extraction of Spoken Word in Broadcast Media Language","Y. Zhang; Y. Zou; W. He; M. Hou; Y. Teng","Broadcast Media Language Res. Center, Commun. Univ. of China, Beijing, China","2009 International Joint Conference on Computational Sciences and Optimization","20090807","2009","2","","403","405","Compared with the written word, few experts pay more attention to the spoken word because of the difficulty of obtaining spoken corpora. In order to develop and improve the spoken words research, this paper proposes a novel method for automatic extraction spoken words in broadcasting language, and the result is impressive. From analysis of the result, we extracted 3009 spoken words by the model on word usage frequency of spatial distribution, and obtain a correct extraction rate over 85% in part I data and 76.5% in part II respectively. The word usage frequency of spatial distribution model can effectively extract and distinguish the spoken words from broadcast media language.","","POD:978-0-7695-3605-7","10.1109/CSO.2009.82","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5193982","","Data mining;Frequency;Helium;Large-scale systems;Logistics;Natural languages;Radio broadcasting;Speech;TV broadcasting","information retrieval;speech processing;word processing","automatic spoken word extraction;broadcast media language;spatial distribution model;spoken corpora;word usage frequency","","0","","3","","","24-26 April 2009","","IEEE","IEEE Conference Publications"
"A Study on Online Consuming Tendency Model","X. Shen","Sch. of Transp., Wuhan Univ. of Technol., Wuhan","2009 International Conference on E-Business and Information System Security","20090630","2009","","","1","5","To enable recommender systems match the online consumer's requirements efficiently, online consuming tendency need to be represented in knowledge uniformly where ontology can be exploited. Online consuming tendency is modeled as a set of triple <Goal, Constraint, Preference> where Goal is the product a user searches for, Constraint indicates the conditions a user prescribes that must be satisfied by the attributes of the goals and Preference indicates users' preferences in specific dimensions of the attributes of the goals. The constraint and preference in product attributes are obtained through mining user's past browsing behaviors and transaction records. The preference measurement is proposed in this paper.","2161-5942;21615942","POD:978-1-4244-4589-9","10.1109/EBISS.2009.5137904","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5137904","","Collaboration;Filtering;Intelligent systems;OWL;Ontologies;Quality of service;Recommender systems;Resource description framework;Semantic Web;Transportation","consumer behaviour;information filters;information retrieval;interactive programming;ontologies (artificial intelligence);transaction processing;user interfaces","browsing behaviors;online consumer requirements;online consuming tendency model;ontology;recommender systems;transaction records;user preference","","0","","9","","","23-24 May 2009","","IEEE","IEEE Conference Publications"
"Study on the Reflective Hydro-database Middleware Model","T. Ming; X. Yanfang; D. Hongxiu; Z. Xiaomei","Dept. of Inf. Technol., Commun. Univ. of China' Nanjing, Nanjing, China","2009 WRI World Congress on Computer Science and Information Engineering","20090724","2009","4","","404","410","A hydraulic data center is an important infrastructure for in-depth development and utilization of hydraulic information and information share. Hydraulic database access middleware is capable of integrating various heterogeneous hydraulic data sources and providing efficient, transparent data access for users. Nowadays it has become a hot research topic to study data access middleware technology, that can adapt to open, dynamic, and changing Internet environment to guarantee the quality of system service. Reflection enables programs to be accessible, dynamic, detect and modify their own status or behaviors. The paper proposes a reflective database middleware object model with the integration of reflection and database access middleware technology. The reflection is realized by creating an interactive mechanism between base-level functional entities and meta-level. A reflected Middleware Model (ReMM) is also created based on J2EE architecture. Finally the dynamic re-configuration is implemented according to quality parameter changes of service.","","POD:978-0-7695-3507-4","10.1109/CSIE.2009.526","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5171028","Data Access Middleware;Hydraulic Application Service Platform;Reflection","Computer science;Data engineering;Databases;Information technology;Middleware;Quality of service;Query processing;Reflection;Scalability;Web and internet services","Internet;Java;distributed databases;information retrieval;middleware","Internet;J2EE architecture;base-level functional entity;heterogeneous hydraulic data source;hydraulic data center;information sharing;interactive mechanism;meta-level;reflective hydro-database access middleware model","","0","","19","","","March 31 2009-April 2 2009","","IEEE","IEEE Conference Publications"
"Research on State Environmental Data Center Construction","S. Li; F. Xu; L. Wang; Q. Sun; B. Wu","Coll. of Resources & Technol., Beijing Normal Univ., Beijing, China","2009 3rd International Conference on Bioinformatics and Biomedical Engineering","20090714","2009","","","1","5","As the environmental problem is emphasized by the whole society increasingly, the needs and demands of the environmental data sharing and service are becoming more and more urgent. In the course of constructing State Environmental Data Center (SEDC): organizing, standardizing and strengthening exchanges of data and information between sections; setting up environmental foundation database of the national authority; unifying and standardizing environmental meta-database; transforming dispersive environmental data resource into sharing information resource; all of which are not only the need of socio-economic development and scientific innovation, but also the inevitable requirement of the environmental protection in our country. Integrating the status quo of Environmental data sharing in china, the major content of SEDC Construction have been discussed in this dissertation. SEDC services for different targets, including environmental managers, technicians and public. Major content of SEDC includes four parts: basic hardware and software, technical supporting system, data resources, and related software system development. If in-depth studies can be conducted on construction of SEDC and then be put into practice, it will be of profound significance for thorough promoting China's environmental data sharing.","2151-7614;21517614","POD:978-1-4244-2901-1","10.1109/ICBBE.2009.5163334","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5163334","","Databases;Dispersion;Environmental factors;Environmental management;Hardware;Information resources;Organizing;Protection;Software systems;Technological innovation","database management systems;environmental management;environmental science computing;information retrieval systems;information services;socio-economic effects","State Environmental Data Center;data resources;dispersive environmental data resource;environmental data sharing;environmental foundation database;environmental meta-database;environmental protection;hardware;information service;scientific innovation;socio-economic development;software system development;technical supporting system","","2","","6","","","11-13 June 2009","","IEEE","IEEE Conference Publications"
