"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=7048201,7047368,7045753,7046930,7045202,7044640,7044699,7045332,7043531,7044454,7043161,7045007,7032680,7032654,7041736,7042518,7041925,7041580,7042482,7042640,7041714,7041699,7042185,7036512,7036466,7036873,7041042,7036957,7038735,7038846,7036872,7037708,7037769,7039089,7037795,7036843,7033797,7033904,7033953,7032272,7033149,7033788,7033330,7033893,7033845,7033665,7035626,7035689,7033688,7033884,7032972,7033830,7033661,7035868,7033182,7033130,7033794,7034272,7033031,7030772,7030774,7031182,7030934,7030209,6824679,7027344,6823710,7028640,7027583,7028665,7027562,7024863,7025622,7023573,7022622,7023324,7026329,7024621,7024607,7023400,7022591,7023795,7024273,7023323,7024583,7023584,7024566,7022620,7022698,7023705,7019329,7019397,7018655,7020605,7021761,7019672,7019373,7020625,7021808,7020456",2017/05/04 22:15:48
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Enhancing security of ICA-AtoM: The web based archival description software","W. K. S. Karunarathne; S. P. Wimalarathne","Department of Information Technology, University of Moratuwa, Katubedda, Sri Lanka","2014 First International Conference on Computational Systems and Communications (ICCSC)","20150216","2014","","","236","241","Every Nation holds a unique history, which has already been written on stone inscriptions, paperbacks, journals, newspapers and some of them were herd though speeches and seen though portrayals other various artifacts. The days which was taken by the clock has gone for the embrace of the Nation's memory - which are Archives. Archives can be as many as millions of items, it is more than a record of government decisions. It is an archive about people from the ordinary to the famous, who together tell the story of the Nation. The Department of National Archives of Sri Lanka holds the memory of Sri Lanka as it has been identified as the last resort to find most of the valuable documents, papers or journals publish throughout the history. Besides of preservation of traditional and non-traditional government records basing on relevant stipulated rules and regulations, the National Archives facilities to retrieve information from its holdings for use by of the government for its administration processes and for research purposes to the public. The ICA-AtoM has played the role of connecting the public with Archives through a methodological data management and providing accessibility to records via Internet, which was not in its optimum of security when it's compared to a safe room. This paper aiming for highlight various security dodges in built to the ICA-AtoM, the Archival Description Software, discussing in detail the ICA-AtoM related vulnerabilities and how they are exploited and remedial techniques which can be effectively introduced to enhance the security.","","CD-ROM:978-1-4799-6012-5; Electronic:978-1-4799-6013-2; POD:978-1-4799-6014-9","10.1109/COMPSC.2014.7032654","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7032654","Archival Description Software;ICA-AtoM;National Archives;Vulnerabilities;cyber-attacks","Computer crime;Databases;Government;Web servers","Internet;history;information retrieval;security of data","Department of National Archives of Sri Lanka;ICA-AtoM security;Internet;Web;administration processes;archival description software;data management;government records;history;information retrieval;remedial techniques;safe room;security dodge","","0","","17","","","17-18 Dec. 2014","","IEEE","IEEE Conference Publications"
"Opinion based book recommendation using Naive Bayes classifier","A. S. Tewari; T. S. Ansari; A. G. Barman","CSE department, NIT Patna, India","2014 International Conference on Contemporary Computing and Informatics (IC3I)","20150126","2014","","","139","144","In the rapidly increasing field of E-commerce, buyer is surrounded by many product information. However, search engines like Google, Baidu, can't satisfy the demands of buyer because the information about the product that the users want can't be obtain quickly, easily and correctly. So buyer has to spend lots of time in removing the unnecessary information. Many e-commerce website often request buyers to review products that they have already purchased. As the popularity of e-commerce is increasing day by day, the reviews from customers about the product receives also increasing heavily. As a result of this it is difficult for a buyer to read all the reviews to make a decision about the product purchase. In this paper, we extracted, summarize and categorize all the customer reviews of a book. This paper proposes a book recommendation technique based on opinion mining and Naïve Bayes classifier to recommend top ranking books to buyers. This paper also considered the important factor like price of the book while recommendation and presented a novel tabular efficient method for recommending books to the buyer, especially when the buyer is coming first time to the website.","","Electronic:978-1-4799-6629-5; POD:978-1-4799-6630-1; USB:978-1-4799-6628-8","10.1109/IC3I.2014.7019672","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7019672","Naïve Bayes classifier;Opinion mining;Recommendation System;User reviews","Classification algorithms;Conferences;Data mining;Data structures;Data warehouses;Informatics;Testing","Web sites;data mining;electronic commerce;information retrieval;publishing;recommender systems;search engines","Baidu;Google;Web site;customer review;e-commerce;naive Bayes classifier;opinion based book recommendation;opinion mining;search engine;tabular efficient method","","0","","9","","","27-29 Nov. 2014","","IEEE","IEEE Conference Publications"
"Implementation of health information system using Location Based Services","V. Poornima; R. Ganesan","TIFAC-Core in Pervasive Computing Technologies, Velammal Engineering College, Chennai, India","2014 IEEE International Conference on Advanced Communications, Control and Computing Technologies","20150126","2014","","","1692","1696","Location Based Services (LBS) contribute many benefits for mobile users to retrieve the precise information about the location at right time with personalized setup. Generally LBS are used to create desktop applications through which a user can get information regarding their location. The disadvantage in the existing system does not help the user to find the exact location on their move. LBS are an Information Service, which is accessible from mobile devices through the mobile network and provides information based on the geographical position of the device. LBS include services to identify a location of a person or an object or a service such as discovering the nearest facilities as per the user's preferences. The information on health care services is essential and vital. There is a significant requirement of efficient and user friendly location based services which provide health care related information like location and details of hospitals for a user on the move. The proposed methodology for finding the nearest Healthcare Facilities in a city is based on the network analysis which is used to determine the closeness and the shortest path to the healthcare facilities using the ArcGIS software. This approach uses a new shortest path algorithm called the Bidirectional algorithm.","","CD-ROM:978-1-4799-3913-8; Electronic:978-1-4799-3914-5; POD:978-1-4799-3915-2","10.1109/ICACCCT.2014.7019397","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7019397","GIS;Health Care Facilities;Location Based Services;Network Analysis","Algorithm design and analysis;Geographic information systems;Hospitals;Mobile communication;Roads;Spatial databases","geographic information systems;health care;information retrieval;medical information systems;mobile computing","ArcGIS software;LBS;bidirectional algorithm;health information system;healthcare facilities;information retrieval;location based services","","0","","14","","","8-10 May 2014","","IEEE","IEEE Conference Publications"
"Linking text and visual concepts semantically for cross modal multimedia search","B. Safadi; M. Sahuguet; B. Huet","EURECOM Sophia Antipolis, France","2014 IEEE International Conference on Image Processing (ICIP)","20150129","2014","","","3077","3081","Currently, popular search engines retrieve documents on the basis of text information. However, integrating the visual information with the text-based search for video and image retrieval is still a hot research topic. In this paper, we propose and evaluate a video search framework based on using visual information to enrich the classic text-based search for video retrieval. With the proposed framework, we endeavor to show experimentally, on a set of real world scenarios, that visual cues can effectively contribute to significant quality improvement of video retrieval. Experimental results show that mapping text-based queries to visual concepts improves the performance of the search system. Moreover, when appropriately selecting the relevant visual concepts for a query, a very substantial improvement of the system's performance is achieved.","1522-4880;15224880","Electronic:978-1-4799-5751-4; POD:978-1-4799-5752-1","10.1109/ICIP.2014.7025622","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7025622","Multimedia retrieval;video search and visual cues","Detectors;Multimedia communication;Search engines;Semantics;Streaming media;System performance;Visualization","information retrieval;multimedia computing;search engines;text analysis;video retrieval","cross modal multimedia search;document retrieval;image retrieval;search engine;text concept;text information;text-based query;text-based search;video retrieval;video search framework;visual concept;visual information","","0","","15","","","27-30 Oct. 2014","","IEEE","IEEE Conference Publications"
"A web link retrieval framework for retrieving non redundant description based web links","A. Raj; S. Shekhar; K. V. Arya","GLA University, Mathura","2014 9th International Conference on Industrial and Information Systems (ICIIS)","20150212","2014","","","1","4","This paper explores the measuring similarity between the web objects which are one of the fundamental task in information retrieval domain. This paper proposes a framework for improved and efficient web object search based on search domain. The concept of proposed approach defines the similarity between two objects (object can be a link or text content) and retrieve the related links with their content descriptor according to user's interest. The proposed framework can retrieve the similar web objects in effective and faster way by eliminating the redundant objects. The proposed algorithm is experimentally tested and the results shows improvement in fast and effective retrieval of web links. The proposed algorithm automatically extracts web links based on user interests. Furthermore, in accordance with user interest's web objects mined and feedbacks of users are assessed for effective retrieval with an idea of dynamically adjusting the ranking scores of Web Pages based on similarity measures.","2164-7011;21647011","CD-ROM:978-1-4799-6498-7; Electronic:978-1-4799-6500-7; POD:978-1-4799-6501-4","10.1109/ICIINFS.2014.7036512","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7036512","Link-based similarity;SimRank;Web Link;Web objects;similarity measures","Accuracy;Algorithm design and analysis;Crawlers;Google;Search engines;Uniform resource locators;Web pages","Internet;information retrieval","Web link retrieval framework;Web object;Web page;content descriptor;feedbacks;information retrieval domain;nonredundant description-based Web links;redundant object;search domain","","0","","8","","","15-17 Dec. 2014","","IEEE","IEEE Conference Publications"
"A Distributed Information Extraction System Integrating Ontological Knowledge and Probabilistic Classifiers","A. Alicante; M. Benerecetti; A. Corazza; S. Silvestri","Dept. of Electr. Eng. & Inf. Technol., Univ. di Napoli Federico II, Naples, Italy","2014 Ninth International Conference on P2P, Parallel, Grid, Cloud and Internet Computing","20150129","2014","","","420","425","In this work we consider the problem of extracting concepts and relations between them from documents, aiming at constructing an index for a more semantically oriented search engine. While assessment is performed on a biomedical application, the proposed solutions can be also applied to different domains. With the distributed architecture proposed, we obtain an approach that can be applied also on large data sets. Experimental assessment has been performed on a standard data set, BioNLP 2013.","","Electronic:978-1-4799-4171-1; POD:978-1-4799-7872-4","10.1109/3PGCIC.2014.87","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7024621","Distributed Approach;Information Extraction;Markov Random Fields","Belief propagation;Computational modeling;Computer architecture;Indexing;Microorganisms;Probabilistic logic;Random variables","information retrieval;medical computing;ontologies (artificial intelligence);pattern classification;probability;search engines","BioNLP 2013;biomedical application;concept extraction;distributed architecture;distributed information extraction system;ontological knowledge;probabilistic classifiers;relation extraction;search engine","","0","","26","","","8-10 Nov. 2014","","IEEE","IEEE Conference Publications"
"Identifying Co-expressed miRNAs using Multiobjective Optimization","S. Acharya; S. Saha","Dept. of Comput. Sci. & Eng., Indian Inst. of Technol., Patna, Patna, India","2014 International Conference on Information Technology","20150209","2014","","","245","250","The micro RNAs or miRNAs are short non-coding RNAs, which are capable in regulating gene expression in post-transcriptional level. A huge volume of data is generated by expression profiling of miRNAs. From various studies it has been proved that a large proportion of miRNAs tend to form clusters on chromosome. So, in this article we are proposing a multi-objective optimization based clustering algorithm for extraction of relevant information from expression data of miRNA. The proposed method integrates the ability of point symmetry based distance and existing Multi-objective optimization based clustering technique-AMOSA to identify co-regulated or co-expressed miRNA clusters. The superiority of our proposed approach by comparing it with other state-of-the-art clustering methods, is demonstrated on two publicly available miRNA expression data sets using Davies-Bouldin index - an external cluster validity index.","","Electronic:978-1-4799-8084-0; POD:978-1-4799-8133-5","10.1109/ICIT.2014.69","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7033330","AMOSA;Micro RNA;Point Symmetry based distance;co-expressed miRNAs","Clustering algorithms;Equations;Euclidean distance;Indexes;Linear programming;Simulated annealing","RNA;biology computing;information retrieval;optimisation;pattern clustering","AMOSA;Davies-Bouldin index;co-expressed miRNA identification;co-regulated miRNA clusters;external cluster validity index;gene expression regulation;information extraction;miRNA expression data sets;microRNA;multiobjective optimization based clustering algorithm;noncoding RNA;point symmetry based distance;post-transcriptional level","","1","","30","","","22-24 Dec. 2014","","IEEE","IEEE Conference Publications"
"Creating ontology based user profile for searching web information","P. Jayakumar; P. Shobana","Department of the CSE, Arunai Engineering College, Tiruvannamalai","International Conference on Information Communication and Embedded Systems (ICICES2014)","20150209","2014","","","1","6","Internets are important in everyone's life like searching keyword, college, social network and online shopping, when user using the internet for searching the keyword they getting some problem. That is when user searching for the keyword for some meaning but they will get different meaning for that keyword. Because each web page contain more information for single keyword. To get exact information for each keyword is challenging issue for the user. To reduce that problem we introduce solution called creating user profile using ontologies. Ontologies are widely used for crating the user profile. we can get the user details directly from user without any disturbance. This model produce great result.","","Electronic:978-1-4799-3834-6; POD:978-1-4799-3698-4","10.1109/ICICES.2014.7033893","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7033893","Ontology;personalization;semanticrelation;user profiles;web information searching","Databases;Educational institutions;Knowledge based systems;Ontologies;Semantics;Web pages","Internet;Web sites;information retrieval;ontologies (artificial intelligence)","Internet;Web information searching;Web page;creating ontology based user profile;keyword searching","","0","","8","","","27-28 Feb. 2014","","IEEE","IEEE Conference Publications"
"I-VEST: Intelligent visual email search and triage","J. Koven; E. Bertini; N. Memon; R. L. Dubois","","2014 IEEE Conference on Visual Analytics Science and Technology (VAST)","20150216","2014","","","257","258","Lawyers and investigators are often presented with large email datasets that contain emails that are not all relevant to any given investigative search. They must often manually comb through information contained within these large datasets in order to find the information they need, expending large amounts of time and money in the process. Our work offers an interactive visual analytic alternative to current methodology. We introduce a method for reducing the number of emails that need to be viewed in a large dataset while also giving the user a quick overview of possible contents and relationships in a set of results.","","Electronic:978-1-4799-6227-3; POD:978-1-4799-6186-3","10.1109/VAST.2014.7042518","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7042518","Data Analytics;Email Search;Investigative Analysis;Unstructured Data;Visual Analytics","Artificial intelligence;Electronic mail;Keyword search;Pipelines;Receivers;Visual analytics","data analysis;data visualisation;electronic mail;information retrieval;law administration","I-VEST;email datasets;intelligent visual email search and triage;interactive visual analytic alternative;investigative search;investigators;lawyers","","0","","5","","","25-31 Oct. 2014","","IEEE","IEEE Conference Publications"
"Increasing the availability of cloud resources using broker with semantic technology","R. S. Amshavalli; G. Kavitha","Department of Information Technology, B.S.Abdur Rahman University, Chennai, India","2014 IEEE International Conference on Advanced Communications, Control and Computing Technologies","20150126","2014","","","1578","1582","Cloud computing is the blending technology of parallel and distributing computing, and its main aim is providing Everything as a Service to the consumers. The private cloud is one of the deployment models and it offers resources in an on-demand manner. Resource Management is the challenging task between different private cloud because of the interoperability issues since the private clouds are managed by different type of cloud middleware's and each of them has their own mechanism and protocols. To manage the resource efficiently and to increase the resource availability it is essential to overcome the interoperability issues between the private clouds. In this paper a common mechanism called Semantic Cloud Resource Broker (SCRB) is introduced between the Eucalyptus and Open Nebula based private clouds. It also includes the semantic technology to achieve meaningful search. Hence an OWL-based ontology indexing and retrieval algorithms is implemented to improve precision and recall and thereby improves the success rate of cloud resources.","","CD-ROM:978-1-4799-3913-8; Electronic:978-1-4799-3914-5; POD:978-1-4799-3915-2","10.1109/ICACCCT.2014.7019373","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7019373","Availability;Interoperability;Ontology;Resource management;Semantic search","Authentication;Handheld computers;Indexes;Ontologies;Scalability;Semantics","cloud computing;data privacy;indexing;information retrieval;knowledge representation languages;middleware;ontologies (artificial intelligence);open systems;semantic Web","Eucalyptus;OWL-based ontology indexing;Open Nebula;SCRB;blending technology;cloud middleware;deployment models;distributing computing;everything as a service;interoperability issues;parallel computing;private cloud;resource management;retrieval algorithms;semantic cloud resource broker;semantic technology","","0","","19","","","8-10 May 2014","","IEEE","IEEE Conference Publications"
"In-network caching and content placement in cooperative small cell networks","F. Pantisano; M. Bennis; W. Saad; M. Debbah","JRC - Joint Research Centre, European Commission, Ispra, Italy","1st International Conference on 5G for Ubiquitous Connectivity","20150212","2014","","","128","133","Anticipating multimedia file requests via caching at the small cell base stations (SBSs) has emerged as a promising technique for enhancing the quality-of-service (QoS) of cellular user equipments (UEs). Nevertheless, in traditional caching approaches, files are retrieved from evolved packet core (EPC) of the network, and without coordination among SBSs, which introduces new challenges of content duplication and unbalanced traffic load on the backhaul. In this paper, we propose a collaborative framework in which the SBSs can access files from the caches of other SBSs within the same network domain (i.e., connected to the same service gateway). We design a cost model for the content retrieval of contents across SBSs and from the EPC, and we propose a cost-aware decentralized algorithm, based on which the SBSs devise individual caching strategies (i.e., which files to cache, and from where). Simulation results show that the proposed cooperative caching scheme yields significant gains in terms of in-network content availability, reaching up to 21% improvement compared to a traditional approaches based on geographical distribution of the UEs.","","Electronic:978-1-6319-0055-6; POD:978-1-4799-6029-3; USB:978-1-6319-0054-9","10.4108/icst.5gu.2014.258230","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7041042","","Bismuth;Frequency modulation;Logic gates;Scattering","cache storage;cellular radio;cooperative communication;information retrieval;internetworking;multimedia communication;quality of service;telecommunication traffic","QoS;SBS;cellular user equipments;collaborative framework;content duplication;content placement;content retrieval;cooperative small cell networks;cost model;cost-aware decentralized algorithm;evolved packet core;file retrieval;in-network caching;in-network content availability;multimedia file requests;network domain;quality-of-service enhancement;service gateway;small cell base stations;unbalanced traffic load","","7","","12","","","26-28 Nov. 2014","","IEEE","IEEE Conference Publications"
