"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=5543983,5542868,5541387,5541390,5540727,5543798,5543746,5540740,5543452,5542886,5540715,5542899,5540744,5543925,5543640,5542838,5544919,5540021,5541516,5540129,5540126,5539838,5541574,5541573,5540816,5540233,5539979,5540000,5541806,5539997,5540718,5539977,5541774,5541838,5540864,5539973,5539994,5541679,5540003,5541695,5541539,5541993,5541434,5539988,5541682,5534741,5534811,5538250,5537776,5521643,5534808,5537760,5521625,5537244,5536270,5533234,5532275,5529567,5532640,5529649,5529262,5529706,5529912,5459180,5533218,5533050,5529547,5532863,5529685,5533213,5529890,5533869,5532658,5529568,5459151,5532183,5532021,5529900,5531316,5529364,5529067,5532595,5529904,5529774,5529915,5459291,5532408,5529869,5459258,5533339,5529598,5533486,5529905,5532455,5532806,5530112,5529884,5533671,5529914,5529261",2017/05/04 20:50:50
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Ontology-focused semantic description and retrieval of educational resources","Linjing Wu; Hong Wang","National Engineering Research Center for E-Learning, HuaZhong Normal University, Wuhan, Hubei, China","2010 2nd International Conference on Education Technology and Computer","20100729","2010","3","","V3-184","V3-187","With the scale of educational resources construction continues to expand, how to achieve the semantic description and sharing of educational resources, and provide users with semantic-level resource support services, is a key problem which we should pay attention to in the field of knowledge services. This paper proposes a solution on description and retrieval of educational resources metadata based on domain ontology. It can achieve the semantic sharing and service of educational resources. We give the relevant implementation using the major of “Educational Technology” as an example which has shown good effect.","2155-1812;21551812","Electronic:978-1-4244-6370-1; POD:978-1-4244-6367-1","10.1109/ICETC.2010.5529568","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5529568","domain ontology;educational technology;metadata;semantic","Computer science education;Content based retrieval;Continuing education;Educational technology;Information retrieval;Knowledge engineering;Ontologies;Resource description framework;Resource management;Standards organizations","educational technology;ontologies (artificial intelligence)","domain ontology;educational resource metadata;educational technology;ontology-focused semantic description;semantic sharing;semantic-level resource support service","","0","","7","","","22-24 June 2010","","IEEE","IEEE Conference Publications"
"A Memory-Efficient Multi-pattern Matching Algorithm Based on the Bitmap","W. Zhang; Y. Zhang; H. Zhang; X. Gu; A. M. K. Cheng","Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China","2009 Fourth International Conference on Internet Computing for Science and Engineering","20100803","2009","","","1","5","The Aho-Corasick algorithm is an efficient multiple pattern matching algorithm for large scale pattern sets. However, it consumes too much memory. A new efficient space optimization algorithm (AC-Bitmap) is proposed, which is based on the data structure of the bitmap. It divides all the states in the automata into two groups by their depths in the dictionary tree of all the patterns, and reduces the deeper group's memory consumption which is retrieved less in matching. For the latter group, it also makes use of the bitmap to improve its retrieval time efficiency. Experiments indicate that the AC-Bitmap algorithm significantly reduces the memory consumption, which still keeps the time efficiency compared to the AC algorithm for random texts and literatures.","","CD-ROM:978-0-7695-4027-6; Electronic:978-1-4244-6755-6; POD:978-1-4244-6754-9","10.1109/ICICSE.2009.37","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521643","AC-Bitmap algorithm;Aho-Corasick algorithm;multipattern matching;string matching","Automata;Computer science;Data structures;Dictionaries;Information retrieval;Internet;Intrusion detection;Large-scale systems;Pattern matching;Space technology","data structures;optimisation;pattern matching;text analysis;trees (mathematics)","AC-Bitmap;Aho-Corasick algorithm;data structure;large scale pattern sets;memory consumption;memory-efficient multipattern matching algorithm;random texts;space optimization algorithm","","3","","15","","","21-22 Dec. 2009","","IEEE","IEEE Conference Publications"
"Keyphrases extraction research based on structure of document","Huan Huang; Hong Wang","National Engineering Research Center for E-Learning, HuaZhong Normal University, Wuhan.Hubei. China","2010 2nd International Conference on Education Technology and Computer","20100729","2010","3","","V3-180","V3-183","Keyphrase is the foundation of text categorization, automatic summary and information retrieval, so the research of automatic keyphrase extraction has important significance. The current keyphrase extraction methods don't take full advantage of the structural features of the document, too much emphasis on the importance of term frequency, which result in the low accuracy of keyphrase extraction. According to these, the paper proposed a keyphrase extraction method based on structure features of the document. It combined with term frequency, location and length information to automatically extract keyphrases.","2155-1812;21551812","Electronic:978-1-4244-6370-1; POD:978-1-4244-6367-1","10.1109/ICETC.2010.5529567","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5529567","frequency factor;keyphrases extracton;location factor;term weight","Computer science education;Data mining;Educational technology;Electronic learning;Frequency;Information retrieval;Internet;Machine learning algorithms;Text categorization;Thesauri","category theory;information retrieval;text analysis","automatic summary;document structure;information retrieval;keyphrases extraction research;text categorization","","0","","10","","","22-24 June 2010","","IEEE","IEEE Conference Publications"
"Quasi-periodic event analysis for social game retrieval","Ping Wang; G. D. Abowd; J. M. Rehg","Health Systems Institute and GVU Center, School of Interactive Computing, Georgia Institute of Technology, USA","2009 IEEE 12th International Conference on Computer Vision","20100729","2009","","","112","119","A new problem of retrieving social games from unstructured videos is proposed. Social games are characterized by repetitions (with variations) of alternating turns between two players. We define games as quasi-periodic motion patterns in video based on their repetitiveness property. We have developed an algorithm to extract such patterns from video. The patterns extracted by our method, from video clips of social games taken from YouTube, are shown to correspond to meaningful stages of the games. We demonstrate promising results in retrieving social games from unstructured, lab-recorded footage of children's play, and identifying social interactions in a dataset of approximately 3.75 hours of home movies.","1550-5499;15505499","Electronic:978-1-4244-4419-9; POD:978-1-4244-4420-5","10.1109/ICCV.2009.5459151","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5459151","","Cameras;Computer vision;Data mining;Games;Information retrieval;Motion analysis;Motion estimation;Motion pictures;Pediatrics;Videos","","","","21","","26","","","Sept. 29 2009-Oct. 2 2009","","IEEE","IEEE Conference Publications"
"A distributed database with self-extending capabilities, to compensate exclusion of malicious nodes","V. Iancu; I. Ignat","University Politehnica of Bucharest, Romania","9th RoEduNet IEEE International Conference","20100805","2010","","","240","245","This paper is based on a decentralized distributed database, which runs on top of a peer-to-peer DHT. For this type of distributed systems we propose a lightweight mechanism to detect malicious nodes and to totally exclude them from the network. Moreover, we define a self-extending mechanism for the distributed system, which helps it include new peers in the right place, in order to minimize the impact of excluding the malicious nodes. Both of these mechanisms, which are sufficiently generic to be applied to any peer-to-peer-based application, and having impact on the shape of the peer-to-peer infrastructure, are evaluated and conclusions regarding their benefits and future improvements are drawn.","2068-1038;20681038","Electronic:978-9-7373-9951-9; POD:978-1-4244-7335-9","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5541574","Byzantine consensus;adaptability;database;decentralization;distributed hash table;malicious node","Centralized control;Control systems;Data security;Database systems;Distributed databases;Information retrieval;Memory;Peer to peer computing;Prototypes;Shape control","","","","0","","15","","","24-26 June 2010","","IEEE","IEEE Conference Publications"
"SPEC hashing: Similarity preserving algorithm for entropy-based coding","R. S. Lin; D. A. Ross; J. Yagnik","Google Inc., Mountain View, CA 94043","2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition","20100805","2010","","","848","854","Searching approximate nearest neighbors in large scale high dimensional data set has been a challenging problem. This paper presents a novel and fast algorithm for learning binary hash functions for fast nearest neighbor retrieval. The nearest neighbors are defined according to the semantic similarity between the objects. Our method uses the information of these semantic similarities and learns a hash function with binary code such that only objects with high similarity have small Hamming distance. The hash function is incrementally trained one bit at a time, and as bits are added to the hash code Hamming distances between dissimilar objects increase. We further link our method to the idea of maximizing conditional entropy among pair of bits and derive an extremely efficient linear time hash learning algorithm. Experiments on similar image retrieval and celebrity face recognition show that our method produces apparent improvement in performance over some state-of-the-art methods.","1063-6919;10636919","Electronic:978-1-4244-6985-7; POD:978-1-4244-6984-0","10.1109/CVPR.2010.5540129","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5540129","","Binary codes;Boosting;Entropy;Face recognition;Hamming distance;Image retrieval;Large-scale systems;Music information retrieval;Nearest neighbor searches;Vectors","cryptography;entropy codes;face recognition;image coding;image retrieval","SPEC hashing;approximate nearest neighbors;entropy-based coding;face recognition;fast nearest neighbor retrieval;hash code Hamming distances;large scale high dimensional data set;linear time hash learning algorithm;similarity preserving algorithm","","19","7","17","","","13-18 June 2010","","IEEE","IEEE Conference Publications"
"The good and the bad: An evaluation of DBMS characteristics for digital libraries support","A. C. Mitea; D. Volovici; A. Pitic","Computer Science Department, &#x201C;Lucian Blaga&#x201D; University, Faculty of Engineering, Sibiu, Romania","9th RoEduNet IEEE International Conference","20100805","2010","","","234","239","Digital documents as the real ones have to be classified and indexed in a library for proper future exploitation. Classification and indexation process is a hard one for librarians all over the world. A software system can ease their work and make the process more accurate. We present in our paper methods for classifying and indexing publications, suitable for such a system and analyze different storage and index database management systems capabilities in order to use them as support for classification, indexation and retrieval processes in an integrated software system for libraries.","2068-1038;20681038","Electronic:978-9-7373-9951-9; POD:978-1-4244-7335-9","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5541573","classification;component;database management system;digital documents;index structures;indexation;storage structures","Books;Computer science;Database systems;Humans;Indexes;Indexing;Information retrieval;Information technology;Software libraries;Software systems","","","","0","","8","","","24-26 June 2010","","IEEE","IEEE Conference Publications"
"Remote sensing analysis based on GIS for permissible route selection mined-out subsidence areas of an expressway","Renmin Li; L. Fang","Institute of Geotechnical Engineering of Southeast University, Nanjing, China","2010 International Conference On Computer Design and Applications","20100805","2010","1","","V1-425","V1-430","Coal mined-out section is the main harmful engineering geological problem and crucial restraint of western Beijing-Fuzhou Express Way around the city. In order to control the distribution and expansion for mining subsidence areas along the line, TM87, TM94 and ETM2000 remote sensing images are adopted as the information source to bring into play the rapidity, accuracy and strong periodicity of remote sensing technology, to retrieve the dynamic variation information of coal mining water-logged subsidence areas under the support of GIS, and to analyze the distribution and expansion condition of mining subsidence areas on this basis so as to provide reliable evidence for engineering geological assessment and route selection of this expressway. It is indicated by the analysis that remote sensing technology is easy to discover those geological phenomena which are hard for normal geological approaches to find out under severe environment. Its achievements are highly authentic especially suitable for route geological engineering condition assessment and route proposal comparison in probable and permissible stages of highway engineering, and for improving both economical efficiency and reasonability of route design proposals. In the meantime, it offers guidance to prevention of potential diseases occurring during the follow-up engineering construction and after completion of projects.","","Electronic:978-1-4244-7164-5; POD:978-1-4244-7162-1","10.1109/ICCDA.2010.5540816","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5540816","engineering geological assessment;expressway route selection;geographic information system;mining subsidence areas;remote sensing","Cities and towns;Design engineering;Geographic Information Systems;Geology;Image analysis;Image retrieval;Information analysis;Information retrieval;Proposals;Remote sensing","civil engineering;geographic information systems;mining industry;remote sensing;roads","GIS;coal mined-out section;coal mining;dynamic variation information;geographic information system;highway engineering;mined-out subsidence areas;permissible route selection;remote sensing analysis;western Beijing-Fuzhou express way","","0","","11","","","25-27 June 2010","","IEEE","IEEE Conference Publications"
"Re-ranking algorithm using clustering and relevance feedback for image retrieval","X. b. Zhang; J. y. Peng","School of Information Science and Technology, Northwest University, Xi'an, China","2010 International Conference on Educational and Network Technology","20100729","2010","","","237","239","In conventional content-based image retrieval (CBIR) systems, it is often observed that images visually dissimilar to a query image are ranked high in retrieval results, which affects the retrieval effectiveness. To remedy this problem, we re-rank the retrieved images via clustering and relevance feedback. Based on conventional CBIR system, the retrieved images are analyzed using clustering method, and the weights of each feature component are updated. Then, the rank of the results is adjusted according to the distance of a cluster from a query. Experimental results show that our re-ranking algorithm achieves a more rational ranking of retrieval results compared with existing methods.","","Electronic:978-1-4244-7662-6; POD:978-1-4244-7660-2","10.1109/ICENT.2010.5532183","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5532183","clustering algorithm;image retrieval;relevance feedback;similarity metric","Clustering algorithms;Clustering methods;Content based retrieval;Educational technology;Feedback;Image analysis;Image retrieval;Information retrieval;Information science;Libraries","","","","0","","7","","","25-27 June 2010","","IEEE","IEEE Conference Publications"
"Detecting and sketching the common","S. Bagon; O. Brostovski; M. Galun; M. Irani","Dept. of Computer Science and Applied Mathematics, The Weizmann Institute of Science, Rehovot 76100, Israel","2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition","20100805","2010","","","33","40","Given very few images containing a common object of interest under severe variations in appearance, we detect the common object and provide a compact visual representation of that object, depicted by a binary sketch. Our algorithm is composed of two stages: (i) Detect a mutually common (yet non-trivial) ensemble of `self-similarity descriptors' shared by all the input images. (ii) Having found such a mutually common ensemble, `invert' it to generate a compact sketch which best represents this ensemble. This provides a simple and compact visual representation of the common object, while eliminating the background clutter of the query images. It can be obtained from very few query images. Such clean sketches may be useful for detection, retrieval, recognition, co-segmentation, and for artistic graphical purposes.","1063-6919;10636919","Electronic:978-1-4244-6985-7; POD:978-1-4244-6984-0","10.1109/CVPR.2010.5540233","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5540233","","Computer science;Heart;Image databases;Image retrieval;Image segmentation;Information retrieval;Mathematics;Object detection;Shape;Software libraries","image representation;object detection;optimisation;statistical analysis","binary sketch;compact sketch;compact visual representation;mutually common ensemble;object detection;query image;self similarity descriptor","","14","","18","","","13-18 June 2010","","IEEE","IEEE Conference Publications"
