"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1185931,1186267,1186195,1185859,1185975,1187309,1186301,1186095,1187134,1186341,1186066,1187364,1183910,1184036,1183930,1184048,1183922,1184236,1184034,1185211,1183915,1183881,1184044,1184000,1183895,1184024,1183995,1184043,1181101,1179945,1179972,1183020,1181345,1181223,1183378,1181343,1180996,1181293,1182888,1182301,1182100,1183095,1180021,1181211,1181161,1181100,1181995,1179950,1182203,1183043,1181775,1183446,1183439,1179992,1181130,1181305,1183042,1180930,1183630,1181230,1183515,1180796,1181651,1181667,1180823,1181457,1181593,1181655,1181642,1181645,1180638,1180863,1180846,1181611,1181657,1181660,1181618,1180848,1181661,1180875,1180876,1175360,1174529,1174538,1174521,1179375,1176772,1176813,1175387,1175407,1174480,1176780,1176886,1177870,1174400,1137343,1176949,1177867,1175336,1174560",2017/05/04 21:58:10
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Towards Indian language spell-checker design","B. B. Chaudhuri","Comput. Vision & Pattern Recognition Unit, Indian Stat. Inst., Calcutta, India","Language Engineering Conference, 2002. Proceedings","20030228","2002","","","139","146","This paper deals with the development of a spell-checker in Indian languages using as an example Bangla, the second most popular language on the Indian Subcontinent. A brief review of problems and the current scenario of Indian language spell-checkers is described. The approach for the Bangla spell-checker is then elaborated. In this approach the technique works in two stages. The first stage takes care of phonetic similarity error. For that the phonetically similar characters are mapped into single units of character code. A new dictionary D<sub>c</sub> is constructed with this reduced set of alphabets. A phonetically similar but wrongly spelt word can be easily corrected using this dictionary. The second stage takes care of errors other than phonetic similarity. A wrongly spelt word S of n characters is searched in the dictionary D<sub>c</sub>. If S is a nonword, its first k<sub>1</sub>≤n characters will match with a valid word in D<sub>c</sub>. (if k<sub>1</sub>=n then the word in D<sub>c</sub> must be longer than n). A reversed word dictionary D<sub>r</sub> is also generated where the characters of the word are maintained in a reversed order. If the last k<sub>2</sub> characters of S match with a word in D<sub>r</sub> then, for a single error, it is located within the intersection region of first k<sub>1</sub>+1 and last k<sub>2</sub>+1 characters of S. We observed that this region is very small compared to word length for most cases and the number of suggested correct words can be drastically reduced using this information. We have used our approach in correcting Bangla text, where the problem of inflection is tackled by a simplified version of a morphological analyser. Another problem encountered in Indian languages is the existence of a large number of compound words formed by euphony and assimilation. The problem of compound words is also carefully tackled.","","POD:0-7695-1885-0","10.1109/LEC.2002.1182301","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1182301","","Computer errors;Computer interfaces;Computer vision;Dictionaries;Error correction;Information retrieval;Optical character recognition software;Optical computing;Pattern recognition;Speech recognition","computational linguistics;dictionaries;mathematical morphology;natural languages;spelling aids","Bangla;Indian language spell-checker design;alphabet;assimilation;character code;compound words;dictionary;euphony;inflection;intersection region;morphological analyser;phonetic similarity error;phonetically similar characters;reversed word dictionary","","1","","15","","","13-15 Dec. 2002","","IEEE","IEEE Conference Publications"
"Semantic query formulation and evaluation for XML databases","P. Chippimolchai; V. Wuwongse; C. Anutariya","Asian Inst. of Technol., Thailand","Proceedings of the Third International Conference on Web Information Systems Engineering, 2002. WISE 2002.","20030225","2002","","","205","214","A semantic query attempts to help a user obtain or manipulate data in a database without knowing its detailed syntactic structure. Formulation and evaluation of semantic queries require schematic and other constraint information as well as general domain knowledge. A new approach to the formulation and evaluation of semantic queries for XML databases is proposed. It employs XML Declarative Description (XDD) - XML based knowledge representation - to model the databases together with the schemata of their XML elements and to represent domain knowledge resulting in a uniform representation of all the required information. Equivalent transformation (ET) - a new computation paradigm which transforms a representation into another while preserving their meanings - is used to optimize and evaluate the queries.","","POD:0-7695-1766-8","10.1109/WISE.2002.1181657","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181657","","Constraint theory;Data models;Database languages;Deductive databases;Information retrieval;Information systems;Logic;Query processing;Systems engineering and theory;XML","hypermedia markup languages;knowledge representation;query formulation;query processing","XML Declarative Description;XML based knowledge representation;XML databases;constraint information;data manipulation;domain knowledge;equivalent transformation;query evaluation;query optimization;schematic information;semantic query evaluation;semantic query formulation","","2","1","16","","","12-14 Dec. 2002","","IEEE","IEEE Conference Publications"
"A semantic-based image retrieval system: VisEngine","Jian-Yong Sun; Zheng-Xing Sun; Ruo-Hong Zhou; Hui-Feng Wang","State Key Lab for Novel Software Technol., Nanjing Univ., China","Proceedings. International Conference on Machine Learning and Cybernetics","20030219","2002","1","","349","353 vol.1","A semantic-based image retrieval system is proposed in which, prior to retrieval, main regions with plenty of semantic information are segmented from an image. Then a semantic visual template is created for these regions on the basis of weighted feature combination. These templates are stored in XML files. During retrieval, three kinds of query patterns are supplied for the user and a mining algorithm is proposed to find out which feature the user has interest in mostly in feedback images and which makes semantic information users give used adequately by the computer. Experimental results show good performance of the system based on 3400 images.","","POD:0-7803-7508-4","10.1109/ICMLC.2002.1176772","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1176772","","Data mining;Feedback;Humans;Image databases;Image retrieval;Image segmentation;Information retrieval;Regions;Sections;Sun","content-based retrieval;image retrieval;image segmentation","VisEngine;content-based image retrieval;feedback images;mining algorithm;query patterns;semantic visual template;semantic-based image retrieval system;weighted feature combination","","0","","14","","","2002","","IEEE","IEEE Conference Publications"
"Unsupervised feature selection applied to content-based retrieval of lung images","J. G. Dy; C. E. Brodley; A. Kak; L. S. Broderick; A. M. Aisen","Dept. of Electr. & Comput. Eng., Northeastern Univ., Boston, MA, USA","IEEE Transactions on Pattern Analysis and Machine Intelligence","20030228","2003","25","3","373","378","This paper describes a new hierarchical approach to content-based image retrieval called the ""customized-queries"" approach (CQA). Contrary to the single feature vector approach which tries to classify the query and retrieve similar images in one step, CQA uses multiple feature sets and a two-step approach to retrieval. The first step classifies the query according to the class labels of the images using the features that best discriminate the classes. The second step then retrieves the most similar images within the predicted class using the features customized to distinguish ""subclasses"" within that class. Needing to find the customized feature subset for each class led us to investigate feature selection for unsupervised learning. As a result, we developed a new algorithm called FSSEM (feature subset selection using expectation-maximization clustering). We applied our approach to a database of high resolution computed tomography lung images and show that CQA radically improves the retrieval precision over the single feature vector approach. To determine whether our CBIR system is helpful to physicians, we conducted an evaluation trial with eight radiologists. The results show that our system using CQA retrieval doubled the doctors' diagnostic accuracy.","0162-8828;01628828","","10.1109/TPAMI.2003.1182100","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1182100","","Clustering algorithms;Computed tomography;Content based retrieval;Image databases;Image resolution;Image retrieval;Information retrieval;Lungs;Spatial databases;Unsupervised learning","computer vision;content-based retrieval;image retrieval;medical image processing;unsupervised learning","content-based retrieval;customized feature subset;expectation-maximization clustering;feature subset selection;hierarchical approach;lung images;unsupervised feature selection;unsupervised learning","","114","7","36","","","March 2003","","IEEE","IEEE Journals & Magazines"
"Search for flash movies on the web","Jun Yang; Qing Li; Liu Wenyin; Yueting Zhuang","City University of Hong Kong","Proceedings of the Third International Conference on Web Information Systems Engineering (Workshops), 2002.","20030219","2002","","","257","266","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01177870.png"" border=""0"">","","POD:0-7695-1813-3","10.1109/WISEW.2002.1177870","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1177870","","Computer science;Content based retrieval;Fires;Games;Indexing;Java;Motion pictures;Music information retrieval;Streaming media;Web pages","","","","2","","19","","","2002","","IEEE","IEEE Conference Publications"
"Dominant colors of partition and texture features based image retrieval","Zhu PengBo; Liu Fang","Sch. of Comput. Sci. & Technol., Xidian Univ., Xi'an, China","6th International Conference on Signal Processing, 2002.","20030228","2002","1","","106","109 vol.1","A novel and efficient scheme for image retrieval using both dominant colors of partition and texture features is presented. Partitioning the image and extracting the dominant colors features to get a spatial color feature vector of partition of the original image, we distill the texture features of the image. Similarity measuring of the images is made with the two kinds of feature vectors. The method is more effective because it involves more information of the image.","","POD:0-7803-7488-6","10.1109/ICOSP.2002.1180996","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1180996","","Color;Data mining;Extraterrestrial measurements;Frequency;Histograms;Image databases;Image retrieval;Information retrieval;Multimedia databases;Spatial databases","feature extraction;image colour analysis;image retrieval;image texture;multimedia databases;visual databases","dominant colors;feature extraction;image partitioning;image retrieval;multimedia database;similarity measuring;spatial color feature vector;texture features","","1","","7","","","26-30 Aug. 2002","","IEEE","IEEE Conference Publications"
"An incremental approach to building a cluster hierarchy","D. H. Widyantoro; T. R. Ioerger; J. Yen","Dept. of Comput. Sci., Texas A&M Univ., College Station, TX, USA","2002 IEEE International Conference on Data Mining, 2002. Proceedings.","20030310","2002","","","705","708","In this paper we present a novel incremental hierarchical clustering (IHC) algorithm. Our approach aims to construct a hierarchy that satisfies homogeneity and monotonicity properties. Working in a bottom-up fashion, a new instance is placed in the hierarchy and a sequence of hierarchy restructuring processes is performed only in regions that have been affected by the presence of the new instance. The experimental results on a variety of domains demonstrate that our algorithm is not sensitive to input ordering, can produce a quality cluster hierarchy, and is efficient in terms of computational time.","","POD:0-7695-1754-4","10.1109/ICDM.2002.1184034","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1184034","","Clustering algorithms;Clustering methods;Data analysis;Data mining;Information analysis;Information retrieval;Nearest neighbor searches;Ontologies;Tree data structures;USA Councils","computational complexity;data mining;pattern clustering;tree data structures","cluster hierarchy;computational time;hierarchy restructuring process sequence;homogeneity;incremental hierarchical clustering algorithm;monotonicity","","19","","12","","","2002","","IEEE","IEEE Conference Publications"
"An agent-based framework for petroleum information services from distributed heterogeneous data resources","Chengqi Zhang; Chunsheng Li; Zili Zhang","Fac. of Inf. Technol., Univ. of Technol., Sydney, NSW, Australia","Ninth Asia-Pacific Software Engineering Conference, 2002.","20030228","2002","","","593","602","For making good decisions in the area of petroleum production, it is becoming a big problem how to timely gather sufficient and correct information, which may be stored in databases, data files, or on the World Wide Web. In this paper, Gaia methodology and Open Agent Architecture were employed to contribute a framework to solve above problem. The framework consists of three levels, namely, role mode, agent type, and agent instance. The model with five roles is analyzed. Four agent types are designed Six agent instances are developed for constructing the system of petroleum information services. The experimental results show that all agents in the system can work cooperatively to organize and retrieve relevant petroleum information. The successful implementation of the framework shows that agent-based technology can significantly facilitate the construction of complex systems in distributed heterogeneous data resource environment.","1530-1362;15301362","POD:0-7695-1850-8","10.1109/APSEC.2002.1183095","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1183095","","Application software;Australia;Distributed databases;Information retrieval;Information technology;Petroleum industry;Production;Software engineering;Transducers;Web sites","distributed databases;object-oriented programming;petroleum industry","Gaia methodology;Open Agent Architecture;agent-based technique;databases;distributed heterogeneous data resources;petroleum production;software engineering","","3","","15","","","2002","","IEEE","IEEE Conference Publications"
"Ontology-based automatic classification for Web pages: design, implementation and evaluation","R. Prabowo; M. Jackson; P. Burden; H. D. Knoell","Sch. of Comput. & Inf. Technol., Univ. of Wolverhampton, UK","Proceedings of the Third International Conference on Web Information Systems Engineering, 2002. WISE 2002.","20030225","2002","","","182","191","In recent years, we have witnessed continual growth in the use of ontologies in order to provide a mechanism to enable machine reasoning. This paper describes an automatic classifier, which focuses on the use of ontologies for classifying Web pages with respect to Dewey Decimal Classification (DDC) and Library of Congress Classification (LCC) schemes. Firstly, we explain how these ontologies can be built in a modular fashion, and mapped into DDC and LCC. Secondly, we propose the formal definition of a DDC-LCC and an ontology-classification-scheme mapping. Thirdly, we explain the way the classifier uses these ontologies to assist classification. Finally, an experiment in which the accuracy of the classifier was evaluated is presented. The experiment shows that our approach results an improved classification in terms of accuracy. This improvement, however, comes at a cost in a low coverage ratio due to incompleteness of the ontologies used.","","POD:0-7695-1766-8","10.1109/WISE.2002.1181655","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181655","","Costs;Data mining;Information retrieval;Libraries;Ontologies;Portals;Seals;Search engines;Terminology;Web pages","Internet;classification;inference mechanisms;information resources;information retrieval;knowledge representation","Dewey Decimal Classification;Library of Congress Classification;Web pages;accuracy;machine reasoning;ontology-based automatic classification;ontology-classification-scheme mapping","","4","","26","","","12-14 Dec. 2002","","IEEE","IEEE Conference Publications"
"Discovery of interesting association rules from Livelink web log data","Xiangji Huang; Aijun An","Sch. of Comput. Sci., Waterloo Univ., Ont., Canada","2002 IEEE International Conference on Data Mining, 2002. Proceedings.","20030310","2002","","","763","766","We present our experience in mining web usage patterns from a large collection of Livelink log data. Livelink is a web-based product of Open Text, which provides automatic management and retrieval of different types of information objects over an intranet or extranet. We report our experience in preprocessing raw log data and post-processing the mining results for finding interesting rules. In particular we compare and evaluate a number of rule interestingness measures and find that two of the measures that have not been used in association rule learning work very well.","","POD:0-7695-1754-4","10.1109/ICDM.2002.1184048","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1184048","","Association rules;Computer science;Data mining;Data preprocessing;Extranets;Information management;Information retrieval;Internet;Technology management;Volume measurement","Internet;data mining","Livelink Web log data;association rules discovery;rule interestingness measures;rules mining;web usage patterns mining","","4","2","9","","","2002","","IEEE","IEEE Conference Publications"
