"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=6553894,6558176,6558100,6557304,6553941,6553933,6552440,6554118,6555326,6555630,6553937,6555534,6558108,6554015,6554025,6553926,6529535,6552796,6529473,6552612,6552609,6550608,6549297,6549493,6549891,6550399,6549957,6550395,6425381,6205756,6547441,6547416,6547465,6548201,6547321,6547417,6548964,6515216,6249683,6545966,6544869,6546106,6544931,6544866,6544890,6545959,6544878,6544853,6544864,6544925,6543346,6544392,6542441,6543071,6543084,6533610,6531832,6493465,6531870,6533936,6532797,6533920,6528728,6528661,6530396,6531455,6525763,6529235,6531178,6530507,6531483,6528738,6530295,6531310,6530257,6531059,6528402,6528193,6531312,6526334,6527466,6526873,6524475,6526148,6524449,6526376,6524480,6526472,6526470,6526111,6524185,6523558,6524186,6493304,6521190,6522060,6484240,6519758,6042862,6504160",2017/05/04 22:22:37
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Visualizing geolocation of spam email","A. Muallem; S. Shetty; S. K. Hargrove","College of Engineering, Tennessee State University, Nashville, TN USA","2013 Computing, Communications and IT Applications Conference (ComComAp)","20130617","2013","","","63","68","With the recent surge in cyber attacks, there is a growing demand for effective security analytics tools. Though, there are advanced data collection techniques in the form of honeypots and malware collectors, the value of data are only as useful as the analysis technique used. One of the primary drawbacks of current security analytic tools is the lack of visualization controls to effectively analyze the data. In this paper, we develop a visualization tool to analyze the geographical locations of spammers based on the integration of MaxMind and WhoIS databases with Google Maps API. The visualization tool provides an insight into spam origins, along with patterns of spammers identified from spam activity. A key component in the development of this tool is its extensible framework allowing for the addition of resources to retrieve more information about a spammer and analyze additional patterns of spammers for spam analysis.","","Electronic:978-1-4673-6044-9; POD:978-1-4673-6043-2","10.1109/ComComAp.2013.6533610","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6533610","IP Geolocation;Network Visualization;Security Visualization;Spam Analysis","Data visualization;Google;IP networks;Unsolicited electronic mail;Visual databases","data analysis;data visualisation;geographic information systems;information retrieval;invasive software;unsolicited e-mail","Google Maps API;MaxMind databases;WhoIS databases;current security analytic tools;cyber attacks;honeypots collectors;information retrieval;malware collectors;spam email geolocation visualization;spammer geographical locations","","1","","9","","","1-4 April 2013","","IEEE","IEEE Conference Publications"
"Extraction of border ownership information by Conditional Random Field model","B. Özkan; S. Kalkan","Bilgisayar M&#x00FC;hendisli&#x011F;i B&#x00F6;l&#x00FC;m&#x00FC;, Orta Do&#x011F;u Teknik &#x00DC;niversitesi, Ankara, T&#x00FC;rkiye","2013 21st Signal Processing and Communications Applications Conference (SIU)","20130613","2013","","","1","4","Border ownership is a kind of information used for determining the regions that own borders in an image. This information has recently become more valuable as it began to be used in many vision problems such as figure-ground segregation, depth perception and optical flow, however the quality and quantity of current literature are not sufficient yet. In this study, a Conditional Random Field model is developed for the enhancement of border ownership labelings, which are extracted with the help of some spatial cues at the beginning.","","Electronic:978-1-4673-5563-6; POD:978-1-4673-5562-9","10.1109/SIU.2013.6531455","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6531455","border ownership;conditional random field;figure-ground segregation;graphical models","Abstracts;Bismuth;Computer vision;Conferences;Data mining;Image segmentation;Visualization","edge detection;image sequences;information retrieval","border ownership labelings;conditional random field model;depth perception;figure-ground segregation;image border ownership information extraction;optical flow;vision problems","","0","","8","","","24-26 April 2013","","IEEE","IEEE Conference Publications"
"Devnagari handwritten character recognition (DHCR) for ancient documents: A review","K. R. Shah; D. Dattatray Badgujar","Sinhgad Institute of Technology Lonavala, India","2013 IEEE Conference on Information & Communication Technologies","20130715","2013","","","656","660","The field of character recognition has attracted more concentration of researchers for recognizing text from ancient documents. But because of some of the problems like error in recognition in text lines, overlapped characters, joined text line, ages, damage in text lines it is becoming more challenging for them to recognize the text. However, Most of devnagari handwritten ancient documents are not available for all, because of their delicate condition. The purpose of recognizing such document is to preserve and retrieve ancient knowledge from ancient manuscripts. So here we are giving review of some of the methods for detection of characters easily with less error in retrieved text.","","Electronic:978-1-4673-5758-6; POD:978-1-4673-5759-3","10.1109/CICT.2013.6558176","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6558176","Ancient Documents;DBSCAN;Devnagari Handwritten Character Recognition;DoG;Historical Manuscripts;OCR;Pattern Recognition","Character recognition;Conferences;Feature extraction;Layout;Noise;Optical character recognition software;Text recognition","handwritten character recognition;information retrieval;natural language processing;text analysis","DHCR;Devnagari handwritten character recognition;ancient document;ancient knowledge preservation;ancient knowledge retrieval;ancient manuscript;character detection;text recognition;text retrieval","","0","","19","","","11-12 April 2013","","IEEE","IEEE Conference Publications"
"Leveraging semantic web to retrieve customized medical information","S. Islam; G. Freytag; R. Shankar","Computer & Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, USA","2013 IEEE International Systems Conference (SysCon)","20130701","2013","","","258","261","We are developing a web based application for use by diabetes patients to manage their chronic condition. The application will allow patients to keep abreast of the latest developments as pertinent to their specific condition (type, risk factors, medication, history, preferences, etc.), interact with others in a community of users, and have more effective dialog with their health care providers. This paper will document our recent developmental efforts to incorporate semantic web concepts and health information technology infrastructure.","","Electronic:978-1-4673-3108-1; POD:978-1-4673-3107-4","10.1109/SysCon.2013.6549891","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6549891","Health IT;Semantic Web;Semantic Web Rule Language;Web Ontology Language","Communities;Databases;Diabetes;OWL;Ontologies","health care;information retrieval;medical information systems;semantic Web","chronic condition management;diabetes patient;health information technology infrastructure;medical information retrieval;semantic Web","","0","","21","","","15-18 April 2013","","IEEE","IEEE Conference Publications"
"Optimizing approximations of DNF query lineage in probabilistic XML","A. Souihli; P. Senellart","Institut Mines-T&#x00E9;l&#x00E9;com; T&#x00E9;l&#x00E9;com ParisTech; CNRS LTCI, 75634 Paris Cedex 13, France","2013 IEEE 29th International Conference on Data Engineering (ICDE)","20130624","2013","","","721","732","Probabilistic XML is a probabilistic model for uncertain tree-structured data, with applications to data integration, information extraction, or uncertain version control. We explore in this work efficient algorithms for evaluating tree-pattern queries with joins over probabilistic XML or, more specifically, for listing the answers to a query along with their computed or approximated probability. The approach relies on, first, producing the lineage query by evaluating it over the probabilistic XML document, and, second, looking for an optimal strategy to compute the probability of the lineage formula. This latter part relies on a query-optimizer - like approach: exploring different evaluation plans for different parts of the formula and estimating the cost of each plan, using a cost model for the various evaluation algorithms. We demonstrate the efficiency of this approach on datasets used in previous research on probabilistic XML querying, as well as on synthetic data. We also compare the performance of our query engine with EvalDP [1], Trio [2], and MayBMS/SPROUT [3].","1063-6382;10636382","Electronic:978-1-4673-4910-9; POD:978-1-4673-4909-3","10.1109/ICDE.2013.6544869","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6544869","","Additives;Approximation algorithms;Approximation methods;Computational modeling;Data models;Probabilistic logic;XML","XML;information retrieval;tree data structures","DNF query lineage;EvalDP;MayBMS/SPROUT;Trio;approximation optimization;cost model;data integration;information extraction;lineage query;optimal strategy;probabilistic XML document;probabilistic XML querying;probabilistic model;query engine;query-optimizer;tree-pattern queries;uncertain tree-structured data;uncertain version control","","1","","29","","","8-12 April 2013","","IEEE","IEEE Conference Publications"
"Significance of stop word elimination in meta search engine","B. Patel; D. Shah","Department of Computer, Science and Technology, Sardar Patel University, Vallabh Vidyanagar, India","2013 International Conference on Intelligent Systems and Signal Processing (ISSP)","20130610","2013","","","52","55","Various known meta search engines are built for specific search results. Based on search query meta search engine returns an aggregate list of search results from number of search engines. In this article, significance of stop word elimination for better search results in meta search engine is discussed, and new model of meta search engine is proposed. The output by proposed meta search engine and existing meta search engine like dogpile; with stop words and without stop words; are compared. The result shows that retrieved links in new meta search engine, with and without stop words, is more than 90% same where as by existing meta search engine like dogpile differ with more than 90%.","","Electronic:978-1-4799-0317-7; POD:978-1-4799-0316-0","10.1109/ISSP.2013.6526873","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6526873","comparison;elimination;meta search engine;search results;stop words","Aggregates;Engines;Intelligent systems;Metasearch;Search engines;Signal processing;Software engineering","information retrieval;search engines","dogpile;search query meta search engine;stop word elimination significance;with stop words;without stop words","","2","","8","","","1-2 March 2013","","IEEE","IEEE Conference Publications"
"Design and implementation of cognitive examination systems on tablet PC","Y. P. Huang; T. J. Hsin; S. I. Liu","Dept. of Electr. Eng., Nat. Taipei Univ. of Technol., Taipei, Taiwan","2013 ICME International Conference on Complex Medical Engineering","20130627","2013","","","1","6","The birth rate in Taiwan is lagging behind most countries due to the decline of youngster and juvenile population. On the other hand, the advance in health care prolongs the elderly life that in turn causes side effect of increasing healthcare cost to government and elderly family. Unfortunately, most seniors are prone to deteriorating health, which may result in mental or physical impairment. Therefore, research in senile diseases will definitely become active. This study puts emphasis on the prophylaxis of elderly health care, especially the cognition related issues. Several systems, including visual, audio, and memory tests, are designed on Tablet PC for elderly to self evaluate their health status. The advantages of the proposed systems lie in providing the elderly handy tools to perform the evaluation without going back and forth to the hospital, receive the test results immediately, and retrieve the records anytime at home. The results from the proposed systems are compared with other methods to verify their effectiveness and practicality in early evaluation of senile dementia.","","Electronic:978-1-4673-2971-2; POD:978-1-4673-2970-5","10.1109/ICCME.2013.6548201","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6548201","Alzheimer's disease;Mild cognitive impairment;Tablet PC;senile dementia","Cognition;Dementia;Games;Senior citizens;Visualization","cognition;diseases;geriatrics;health care;human computer interaction;information retrieval;medical computing;medical information systems;notebook computers","Alzheimer's disease;Taiwan;audio test;birth rate;cognition related issues;cognitive examination systems;decline juvenile population;decline youngster population;deteriorating health;early senile dementia evaluation;elderly life;health status;healthcare cost;memory test;mental impairment;physical impairment;tablet PC;visual test","","0","","10","","","25-28 May 2013","","IEEE","IEEE Conference Publications"
"Restricted Domain Opinion Mining in Compound Sentences","N. Mishra; C. K. Jha","Comput. Sci., Banasthali Vidyapith, Vanasthali, India","2013 International Conference on Communication Systems and Network Technologies","20130610","2013","","","616","620","The growing availability of opinion rich resources like online review sites and blogs arises as people can easily seek out and understand the opinions of others. Users express their views and opinions that could be simple or compound sentence which is related to the products and services. These opinions are subjective information which represents user's sentiments, feelings or appraisal related to the same. With respect to compound sentences there are number of problems in opinion mining such as identification of object features, their individual sentiments and sentiments of overall object as a whole. This paper is an extension to our work on semantic question answering in which we identify the score of the asked feature by deriving it from the question through opinion mining in compound sentences. Our method shows significant improvement on movie-review dataset.","","Electronic:978-1-4673-5603-9; POD:978-1-4799-1710-5","10.1109/CSNT.2013.132","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6524475","Machine learning;Opinion Mining;Polarity;SentiWordNet;Sentiments;semantic","Compounds;Data mining;Feature extraction;Knowledge discovery;Motion pictures;Semantics;Sentiment analysis","Web sites;data mining;natural language processing;question answering (information retrieval)","blog;compound sentence;movie-review dataset;object feature identification;online review site;opinion rich resource;restricted domain opinion mining;semantic question answering","","0","","36","","","6-8 April 2013","","IEEE","IEEE Conference Publications"
"Assessment of gait recognition based on the lower part of the human body","S. Gabriel-Sanz; R. Vera-Rodriguez; P. Tome; J. Fierrez","Biometric Recognition Group - ATVS, Univ. Autonoma de Madrid, Madrid, Spain","2013 International Workshop on Biometrics and Forensics (IWBF)","20130627","2013","","","1","4","This paper is focused on the assessment of gait recognition on a constrained scenario, where limited information can be extracted from the gait image sequences. In particular we are interested in assessing the performance of gait images when only the lower part of the body is acquired by the camera and just half of a gait cycle is available (SFootBD database). Thus, various state-of-the-art feature approaches have been followed and applied to the data. A comparison with a standard and ideal gait database (USF database) is also carried out using similar experimental protocols. Results show that good recognition performance can be achieved using such limited data information for gait biometric (around 85% of rank 5 identification rate and 8.6% of EER). The comparison with a standard database shows that different feature approaches perform differently for each database, achieving best individual results with MPCA and EGEI methods for the SFootBD and the USF database respectively.","","Electronic:978-1-4673-4989-5; POD:978-1-4673-4987-1","10.1109/IWBF.2013.6547321","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6547321","Biometrics;gait recognition;surveillance","Abstracts;Ear;Image edge detection","cameras;feature extraction;gait analysis;image sequences;information retrieval;principal component analysis;protocols","EGEI method;MPCA;SFootBD database;USF database;camera;feature approach;gait biometric;gait cycle;gait image sequences;gait recognition assessment;human body lower part;information extraction;protocol","","1","","12","","","4-5 April 2013","","IEEE","IEEE Conference Publications"
"Searching research papers using clustering and text mining","E. A. Calvillo; A. Padilla; J. Muñoz; J. Ponce; J. T. Fernandez","Centro de Ciencias Basicas, Universidad Aut&#x00F3;noma de Aguascalientes, Aguascalientes, Mexico","CONIELECOMP 2013, 23rd International Conference on Electronics, Communications and Computing","20130613","2013","","","78","81","The time spent by users are almost two or more hours looking for papers that generates the possibility to make a search engine to optimize and precision in the results. This works purposes a better classification of research papers, the architecture works with a database of knowledge related with the topics of programming, databases and operating systems. That's the initial work of a classification using text mining techniques to search into the documents with natural language contained and get the best words of their content to get a database knowledge, that's the first step to get the desired knowledge also the proposed work use the same engine to make searches classifying the information introduced by the final user and searching in the correct cluster.","","Electronic:978-1-4673-6155-2; POD:978-1-4673-6156-9","10.1109/CONIELECOMP.2013.6525763","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6525763","clusterk-means;dabase;knowledge;pattern;text mining","Classification algorithms;Clustering algorithms;Data mining;Databases;Knowledge based systems;Search engines;Search problems","data mining;information retrieval;natural language processing;search engines;text analysis","cluster searching;knowledge database;natural language;operating systems;programming;research paper classification;research paper searching;search engine;text mining;text mining techniques","","1","","18","","","11-13 March 2013","","IEEE","IEEE Conference Publications"
