"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1300424,1300528,1299859,1299916,1300449,1300461,1298818,1297618,1298971,1298805,1298819,1298975,1295239,1294616,1293948,1294558,1296909,1295297,1296911,1295557,1293788,1294008,1293689,1293872,1295545,1294126,1295498,1293837,1293802,1294291,1294609,1295303,1294608,1294296,1295540,1293734,1294378,1295266,1293955,1295301,1293973,1294182,1295453,1294576,1294303,1295286,1293684,1294424,1294623,1293952,1294012,1293670,1294161,1294283,1294476,1294376,1293963,1294882,1295536,1294379,1296907,1293766,1293934,1294201,1295287,1294087,1294345,1294503,1294583,1294128,1293878,1295299,1295242,1294533,1293961,1294276,1294375,1294853,1294381,1295295,1294406,1294165,1294196,1293772,1291143,1295194,1295172,1292770,1292736,1292735,1292401,1292785,1294957,1292405,1292562,1291162,1292492,1294965,1294892,1292727",2017/05/04 21:53:24
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Automated feature selection through relevance feedback","C. Tusk; K. Koperski; S. Aksoy; G. Marchisio","Insightful Corp., Seattle, WA, USA","IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)","20040510","2003","6","","3691","3693 vol.6","The VisiMine project aims to provide infrastructure that would enable the analysis of large databases containing satellite images. Our work addresses two issues. One is the extraction of information that enables reduction of the data from multi-spectral images into a number of features. Second is the organization and selection of the features that would allow flexible and scalable discovery of the knowledge from the databases of remotely sensed images. The VisiMine architecture distinguishes between three types of feature vectors: pixel, region and tile. One of the challenges in information retrieval is the proper choice of the set of features that are the best suited for a data mining task. The VisiMine system enables extraction of a large number of features that describe textural and spectral properties of satellite information, in addition to the analysis of image information, the system can perform data fusion of image properties with auxiliary data such as DEM. Tilton et al. (2002) presented the results of the information retrieval experiments with the Hierarchical Segmentation (HSEG) algorithm that produces a hierarchical set of image segmentations. The results presented showed that the use of HSEG features improves the precision and recall of similarity searches. However, for different types of land cover, different combinations of HSEG segmentation levels and textural features provided the best results. Image analysis applications often require different levels of image segmentation detail as well as the use of different mixes of spectral, textural and shape features combined together with auxiliary information. Furthermore, a particular application may require different features and different levels of image segmentation detail depending on how the image objects are being analyzed. Thus, an automatic selection of feature sets would be very useful for satellite image analysis. In this paper, we present algorithms that allow for automatic selection of features for region and tile similarity searches. The relevance feedback technique allows for selective choices to be made in the region(s) of interest for which a good subset of features may be found in real time. The preliminary results of the experiments with LANDSAT data show improvements in both prec- ision and recall over previously used methods.","","POD:0-7803-7929-2","10.1109/IGARSS.2003.1295239","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1295239","","Data analysis;Data mining;Feedback;Image analysis;Image databases;Image segmentation;Information retrieval;Satellites;Spatial databases;Tiles","data mining;feature extraction;geographic information systems;geophysical signal processing;image segmentation;relevance feedback;sensor fusion","LANDSAT data;VisiMine project;data fusion;data mining;feature extraction;hierarchical segmentation algorithm;image segmentation;information retrieval;multispectral images;relevance feedback;satellite image databases;satellite information;spectral properties;textural properties","","3","1","3","","","21-25 July 2003","","IEEE","IEEE Conference Publications"
"Audio content based feature extraction on subband domain","J. R. J. Shieh","Adv. Commun. Lab., Nat. Central Univ., Taoyuan, Taiwan","IEEE 37th Annual 2003 International Carnahan Conference onSecurity Technology, 2003. Proceedings.","20040518","2003","","","552","555","Content-based audio feature extraction is key to obtaining important message from audio information. Research in the past several years has focused on the use of speech recognition techniques that are not directly applicable to compressed audio bit stream. However, subband coding based MPEG-1 audio layer III (MP3) is now useful for any system with limited channel capacity for its high quality to bit rate ratio. It has been widely adopted in audio-on-demand, music link via ISDN and digital satellite broadcasting. Message collection is easier if audio content can be extract directly on subband domain. Several useful algorithms are proposed here to manifest this idea.","","POD:0-7803-7882-2","10.1109/CCST.2003.1297618","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1297618","","Data mining;Decoding;Digital audio players;Feature extraction;Frequency domain analysis;Music information retrieval;Psychoacoustic models;Signal analysis;Speech;Transform coding","audio coding;audio databases;content-based retrieval;feature extraction;multimedia databases;speech processing","ISDN;MPEG-1 audio layer III;audio content based feature extraction;audio information retrieval;audio-on-demand;digital satellite broadcasting;multimedia database;subband domain","","2","1","15","","","14-16 Oct. 2003","","IEEE","IEEE Conference Publications"
"Influence of resolution cell size for surface parameters retrieval from polarimetric SAR data","S. Allain; L. Ferro-Famil; E. Pottier; J. Fortuny","Rennes Univ., France","IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)","20040510","2003","1","","440","442 vol.1","This paper introduces a study of the influence of the size of SAR resolution cell on polarimetric scattering characteristics over rough surfaces. Surface scattering is shown to be dependent on the cell size to correlation length ratio. SAR resolution is taken into account by dividing a surface spectrum in two parts: a low-frequency spectrum corresponding to local slopes and a high-frequency component, defining the roughness inside a resolution cell. Backscattering coefficients are calculated for each resolution cell with the IEM model using local incidence angles. Surface scattering is characterized with three polarimetric indicators H/A/α_, highly related to the soil characteristics. These models are validated on indoor polarimetric SAR measurements acquired at the JRC laboratory.","","POD:0-7803-7929-2","10.1109/IGARSS.2003.1293802","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1293802","","Frequency;Information retrieval;Laboratories;Large-scale systems;Probability density function;Rough surfaces;Scattering;Soil;Spatial resolution;Surface roughness","geophysical signal processing;geophysical techniques;radar polarimetry;radar resolution;remote sensing by radar;synthetic aperture radar","IEM model;SAR resolution;backscattering coefficients;correlation length ratio;high-frequency component;indoor polarimetric SAR measurements;local incidence angles;local slopes;low-frequency spectrum;polarimetric SAR data;polarimetric indicators;polarimetric scattering characteristics;resolution cell size;roughness;soil characteristics;surface parameters retrieval;surface scattering","","4","","10","","","21-25 July 2003","","IEEE","IEEE Conference Publications"
"Image retrieval: a first step for a human centered approach","A. Guerin-Dugue; S. Ayache; C. Berrut","Lab. CLIPS-IMAG, Grenoble, France","Fourth International Conference on Information, Communications and Signal Processing, 2003 and the Fourth Pacific Rim Conference on Multimedia. Proceedings of the 2003 Joint","20040504","2003","1","","21","25 Vol.1","Image indexing using content analysis is known as a difficult task, involving the vision research domain. Using these tools in the context of a retrieval system is generally frustrating for users, due to a lack of interfaces development and to the difficulty for users to understand the low-level features managed by the system. We propose in this paper a general point of view for introducing a link between such systems and potential users. This includes image features based on visual perception models, a relevance feedback model, and a graphical interface to express the information need through user-system interactions.","","POD:0-7803-8185-8","10.1109/ICICS.2003.1292405","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1292405","","Buildings;Content based retrieval;Feedback;Humans;Image analysis;Image retrieval;Indexing;Information retrieval;Laboratories;Visual perception","content-based retrieval;graphical user interfaces;image colour analysis;image retrieval","content analysis;graphical interface;human centered approach;image indexing;image retrieval;relevance feedback model;visual perception models","","1","","19","","","15-18 Dec. 2003","","IEEE","IEEE Conference Publications"
"Use of SAR cross spectra for wind retrieval from envisat ASAR wave mode data","T. Schneiderhan; J. Schulz-Stellenfleth; S. Lehner; J. Horstmann; D. Hoja","German Aerospace Center (DLR)","IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)","20040510","2003","3","","1915","1917","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01294291.png"" border=""0"">","","POD:0-7803-7929-2","10.1109/IGARSS.2003.1294291","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1294291","","Extraterrestrial measurements;Information retrieval;Oceans;Radar tracking;Remote sensing;Satellites;Sea measurements;Spaceborne radar;Synthetic aperture radar;Wind","","","","1","","8","","","21-25 July 2003","","IEEE","IEEE Conference Publications"
"Estimation of vegetation water content for corn and soybeans with a normalized difference water index (NDWI) using Landsat Thematic Mapper data","D. Chen; T. J. Jackson; F. Li; M. H. Cosh; C. Walthall; M. Anderson","Manchester Center for Civil & Constr. Eng., Manchester Univ., UK","IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)","20040510","2003","4","","2853","2856 vol.4","A mid-infrared Normalized Difference Water Index (NDWI) is proposed for the estimation of vegetation water content (VWC). As part of a large-scale hydrology experiment (SMEX02) an extensive VWC data set was collected for corn and soybeans over a portion of the growth cycle. Landsat Thematic Mapper (TM) data for several dates were used to develop two indices, the well-known NDVI and the NDWI, for each ground sampling site. Since multiple dates and satellites were used, atmospheric correction and cross calibration was performed on each TM image. Two atmospheric correction models, 6S and MODTRAN, and an empirical method, produced comparable results. Comparisons of VWC and the indices showed that the NDVI saturated at a lower VWC than did the NDWI. This indicates that the NDWI is a better index for use in estimating the VWC over a full crop growing cycle. Relationships were developed between the VWC and NDWI for corn and soybeans. The error with this approach was approximately 0.5 kg/m<sup>2</sup> for corn and 0.2 kg/m<sup>2</sup> for soybeans.","","POD:0-7803-7929-2","10.1109/IGARSS.2003.1294609","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1294609","","Atmospheric modeling;Content based retrieval;Hydrology;Information retrieval;Instruments;Laboratories;Remote sensing;Satellites;Soil moisture;Vegetation mapping","agriculture;vegetation mapping;water","Landsat Thematic Mapper data;MODTRAN;atmospheric correction;corn;cross calibration;normalized difference water index;scale hydrology experiment;soybeans;vegetation water content","","4","","10","","","21-25 July 2003","","IEEE","IEEE Conference Publications"
"New airborne multi-angle high resolution sensor AMTIS LAI inversion based on neural network","Yuyu Zhou; Guangjian Yan; Qijiang Zhou; Shihao Tang","Dept. of Geogr., Beijing Normal Univ., China","IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)","20040510","2003","6","","3887","3889 vol.6","Leaf area index (LAI) is an important biophysical parameter, and remote sensing provides the possibility for the LAI retrieval over large area. Model based inversion is one of the main LAI retrieval methods, and the multi-angle data are the important data sets. However, the general model-fitting algorithm is time consuming in LAI inversion. In this paper, we proposed a kernel-driven model and neural network based LAI inversion algorithm to speed the process. The data obtained by the new Airborne Multi-angle Thermal/Visible Imaging System (AMTIS) is synchronous and has higher resolution. Compared with the low-resolution multi-angle data such as MISR and MODIS, it has a resolution as high as 1.36 m. Using the kernel-driven model, the BRF was reconstructed from the AMTIS data. On the other hand, a 3-dimension radiative transfer model and the measured parameters were used to model the BRF. Then LAI was inversed based on the neural network. Synchronous ground-based measurements of LAI for wheat were taken in Shunyi to validate our method. Some conclusions from the study: (1) LAI can be retrieved successfully using the high-resolution multi-angle data based on neural network; (2) based on the neural network and the kernel-driven model, the inversion rate can be improved; (3) by adjusting the soil moisture classification, the inversion precision can be improved.","","POD:0-7803-7929-2","10.1109/IGARSS.2003.1295303","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1295303","","Biosensors;High-resolution imaging;Image reconstruction;Image resolution;Information retrieval;MODIS;Neural networks;Optical imaging;Remote sensing;Soil moisture","forestry;geophysical techniques;neural nets;vegetation mapping","AMTIS;Airborne Multiangle Thermal-Visible Imaging System;Beijing;China;LAI inversion algorithm;Shunyi;airborne multi-angle high resolution sensor;algorithm;biophysical parameter;kernel-driven model;neural network;remote sensing;soil moisture classification;wheat","","0","","11","","","21-25 July 2003","","IEEE","IEEE Conference Publications"
"Estimation of red pine tree height using Shuttle Radar Topography Mission and ancillary data","C. G. Brown; K. Sarabandi","Dept. of Electr. Eng. & Comput. Sci., Michigan Univ., Ann Arbor, MI, USA","IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)","20040510","2003","4","","2850","2852 vol.4","In this paper accurate tree height retrieval for red pine and Austrian pine is demonstrated using C-band Shuttle Radar Topography Mission (SRTM) height and ancillary data. The tree height retrieval algorithm is based on modeling uniform tree stands with a single layer of randomly-oriented vegetation particles. For such scattering media, the scattering phase center (SPC) height, as measured by SRTM, is a function of tree height, incidence angle, and the extinction coefficient of the medium. The extinction coefficient for uniform tree stands is calculated as a function of tree height and density using allometric equations and a fractal tree model. The algorithm outputs tree height estimates that are significantly closer to the true tree height than the raw SRTM SPC height values obtained from the height difference between the SRTM data and the National Elevation Dataset (NED). The accuracy of the proposed algorithm is demonstrated using SRTM and TOPSAR data for 15 red pine and Austrian pine stands.","","POD:0-7803-7929-2","10.1109/IGARSS.2003.1294608","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1294608","","Information retrieval;Inverse problems;Particle scattering;Phase estimation;Radar scattering;Spaceborne radar;Surfaces;Synthetic aperture radar interferometry;Testing;Vegetation","forestry;geophysical techniques;remote sensing by radar;synthetic aperture radar;vegetation mapping","Austrian pine;National Elevation Dataset;Shuttle Radar Topography Mission;TOPSAR data;allometric equations;ancillary data;extinction coefficient;fractal tree model;height data;interferometric synthetic aperture radars;randomly-oriented vegetation particles;red pine;scattering media;scattering phase center;tree height retrieval algorithm;uniform tree stands;vegetation particles","","7","","9","","","21-25 July 2003","","IEEE","IEEE Conference Publications"
"Comparison of RADARSAT-1 SAR retrieved wind fields to numerical models","J. Horstmann; W. Koch; N. Winstead; F. Monaldo; D. Thompson; P. Clemente-Colon; W. Pichel","GKSS Research Center","IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)","20040510","2003","3","","1930","1932","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01294296.png"" border=""0"">","","POD:0-7803-7929-2","10.1109/IGARSS.2003.1294296","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1294296","","Information retrieval;Numerical models;Polarization;Rough surfaces;Satellites;Sea measurements;Sea surface;Surface roughness;Surface waves;Wind speed","","","","0","","11","","","21-25 July 2003","","IEEE","IEEE Conference Publications"
"Angular effect on surface temperature estimation from AATSR data","J. A. Sobrino; G. Soria; J. Cuenca; J. C. Jimenez-Munoz; M. Gomez; J. El-Kharraz; A. J. Prata","Dept. of Thermodynamics, Valencia Univ., Burjassot, Spain","IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)","20040510","2003","7","","4440","4442 vol.7","The estimation of sea and land surface temperature using multi-angular algorithms with Advanced Along Track Scanning Radiometer (AATSR) data require an accurate knowledge of the angular variation of surface emissivity in the thermal infrared. A range of operative and accurate multiangle algorithms for estimating surface temperature has been developed using MODTRAN 3.5 simulations of the AATSR data at 11 and 12 μm wavelengths, making use of the dual-angle viewing capability of the AATSR. To build the simulated database, emissivity values have been used. An experimental investigation has been made in order to determine the angular variation of the infrared emissivity as a well-known parameter to estimate ST in multiangular methods. The results show a general decrease of the emissivity with increasing viewing angles. Finally, the proposed algorithms have been applied to a series of satellite images acquired by the CSIRO in Australia, retrieving LST with a standard deviation less than 0.6 K if the satellite data are error free; in this case, the emissivity and temperature values necessary to retrieve the ST have been acquired from CSIRO in situ data.","","POD:0-7803-7929-2","10.1109/IGARSS.2003.1295540","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1295540","","Image retrieval;Information retrieval;Land surface;Land surface temperature;Ocean temperature;Radiometry;Satellite broadcasting;Sea surface;Surface waves;Temperature distribution","algorithm theory;emissivity;errors;geophysical techniques;infrared spectra;spectral methods of temperature measurement","11 micron;12 micron;AATSR data;Advanced Along Track Scanning Radiometer;Australia;angular effect;infrared emissivity;multiangular algorithms;satellite data;satellite images;surface emissivity;surface temperature;thermal infrared","","0","","3","","","21-25 July 2003","","IEEE","IEEE Conference Publications"
