"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=5532566,5529243,5531594,5533507,5532519,5459205,5531627,5532434,5530957,5533867,5533498,5529567,5533343,5532698,5533877,5532450,5530863,5529893,5459184,5533167,5524384,5523044,5524573,5523440,5521410,5521686,5523000,5523170,5523219,5524569,5523032,5521502,5523600,5523441,5524570,5514579,5515624,5514086,5514692,5516318,5513471,5514043,5513626,5513940,5513332,5513532,5513570,5520736,5513845,5513489,5514558,5515639,5509466,5509634,5510384,5509508,5509778,5509002,5509934,5509160,5509309,5510430,5510588,5510326,5509181,5509615,5510348,5509439,5509429,5510690,5510472,5508016,5507694,5508251,5508290,5507363,5507407,5506589,5507374,5499015,5501466,5501500,5499302,5498148,5498331,5404289,5499079,5498118,5498305,5498332,5404260,5499030,5498115,5498150,5502592,5497884,5498787,5498940,5498321,5498584",2017/05/05 22:56:16
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Keyphrases extraction research based on structure of document","Huan Huang; Hong Wang","National Engineering Research Center for E-Learning, HuaZhong Normal University, Wuhan.Hubei. China","2010 2nd International Conference on Education Technology and Computer","20100729","2010","3","","V3-180","V3-183","Keyphrase is the foundation of text categorization, automatic summary and information retrieval, so the research of automatic keyphrase extraction has important significance. The current keyphrase extraction methods don't take full advantage of the structural features of the document, too much emphasis on the importance of term frequency, which result in the low accuracy of keyphrase extraction. According to these, the paper proposed a keyphrase extraction method based on structure features of the document. It combined with term frequency, location and length information to automatically extract keyphrases.","2155-1812;21551812","Electronic:978-1-4244-6370-1; POD:978-1-4244-6367-1","10.1109/ICETC.2010.5529567","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5529567","frequency factor;keyphrases extracton;location factor;term weight","Computer science education;Data mining;Educational technology;Electronic learning;Frequency;Information retrieval;Internet;Machine learning algorithms;Text categorization;Thesauri","category theory;information retrieval;text analysis","automatic summary;document structure;information retrieval;keyphrases extraction research;text categorization","","0","","10","","","22-24 June 2010","","IEEE","IEEE Conference Publications"
"Optimizing Link Assignment to Enhance Service in Probabilistic Network","F. J. Berchmans; W. K. Hon; A. C. Y. Huang; C. S. Liu; E. Lo; D. K. Y. Yau","Dept. of Comput. Sci., Purdue Univ., West Lafayette, IN, USA","2010 7th Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks (SECON)","20100712","2010","","","1","9","We consider service enhancement in a wireless environment in which clients try to obtain service from a set of servers. Each client desires a minimum overall service success probability, which is achieved by establishing multiple independent connections with multiple servers. Given the service success probability of each potential client-server connection, our problem is to assign the connections such that the number of satisfied clients (whose overall service success probability is met) is maximized subject to server capacity constraints. In this paper, we make minor adaptations to the well-known notion of probabilistic network from the machine learning community and use it as our communication model. We then formally define the above optimization problem as the link assignment for successful service problem (LASS). While LASS can be reduced to the maximum matching problem in the deterministic case (where the success probabilities of each edge is 1), we show that in the probabilistic case it is NP-hard (and MaxSNP-hard). An equivalent integer programming formulation for LASS is obtained so that for small input size, the problem may be efficiently solved by the standard IP solver in practice. To tackle large input size, various heuristics are designed. Furthermore, in the special case where the underlying network graph is a tree (which is common in many real-life settings), we show that LASS can be solved in linear time based on a simple greedy algorithm. Experimental evaluations are performed and the results demonstrate the practicality of the algorithms and the heuristics.","2155-5486;21555486","Electronic:978-1-4244-7151-5; POD:978-1-4244-7150-8","10.1109/SECON.2010.5508251","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5508251","","Capacity planning;Communications Society;Computer networks;Computer science;Error correction;Interference;Linear programming;Machine learning;Network servers;USA Councils","client-server systems;computational complexity;graph theory;greedy algorithms;integer programming;learning (artificial intelligence);probability;wireless channels","IP solver;MaxSNP-hard;NP-hard;client-server connection;greedy algorithm;integer programming formulation;link assignment;machine learning;matching problem;network graph;optimization problem;probabilistic network;service enhancement;successful service problem;wireless environment;wireless network channels","","1","","19","","","21-25 June 2010","","IEEE","IEEE Conference Publications"
"Design and construction of a Virtual Reality wire cut Electrical Discharge Machining system","Y. C. Kao; J. P. Tsai; H. Y. Cheng; C. C. Chao","Department of Mechanical Engineering, National Kaohsiung University of Applied Sciences, Kaohsiung City, Taiwan","2010 International Symposium on Computer, Communication, Control and Automation (3CA)","20100729","2010","2","","45","48","Wire Electrical Discharge Machining (WEDM) uses a metallic wire to cut a product profile such as extrusion dies and blanking punches. The cost of possession and maintenance of the WEDM equipment is generally high. Hence, it is important to reduce the machine operation training cost, to provide simulation verification, and to investigate the correctness of the NC codes. This paper presents the development of a Virtual Reality (VR) based WEDM system which can emulate a real WEDM machine. The research result can be adopted to serve as a cost-effective tutoring system that has the benefits of improving the inefficient and dangerous drawbacks in operating the real machine. The developed system can provide an effective application in digital education and training environment for academics and industries.","2324-7983;23247983","Electronic:978-1-4244-5568-3; POD:978-1-4244-5565-2","10.1109/3CA.2010.5533343","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5533343","Digital Education and Training;Virtual Machine Tool;Virtual Reality (VR)","Costs;Design automation;Industrial training;Layout;Machine learning;Object oriented modeling;Unified modeling language;Virtual machining;Virtual reality;Wire","blanking;computer based training;cutting;dyes;electrical discharge machining;extrusion;production engineering computing;virtual reality;wires","blanking punches;cost-effective tutoring system;digital education;extrusion dies;metallic wire;product profile;simulation verification;training environment;virtual reality wire cut electrical discharge machining system;wire electrical discharge machining","","0","","6","","","5-7 May 2010","","IEEE","IEEE Conference Publications"
"Analysis for Incremental Calculation of Distribution Reductions","H. T. Chen; S. M. Gu; J. Liu","Sch. of Math., Zhejiang Ocean Univ., Zhou Shan, China","2010 International Conference on Intelligent Computation Technology and Automation","20100726","2010","1","","639","642","Distribution reduction of an inconsistent information system is a reduction after that the credibility of rules obtaining from information systems remains unchanged. The paper analyzes various situations may be encountered when incremental data add to an inconsistent information system, then provides various methods to incrementally update discernibility formula, in most cases, incremental updating can avoid repetitious calculating, However, because there is no inverse operation of conjunctive operation, in some cases, incremental computing can not be performed, recalculating reduction is the only selection. Complexity of the problem is analyzed finally.","","Electronic:978-1-4244-7280-2; POD:978-1-4244-7279-6","10.1109/ICICTA.2010.737","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5523000","Rough set;attributes reduction;distribution reduction;inconsistent system","Automation;Data mining;Distributed computing;Information analysis;Information systems;Machine learning algorithms;Marine technology;Mathematics;Physics computing;Set theory","data reduction;information systems;rough set theory","conjunctive operation;discernibility formula;distribution reductions;incremental data calculation;information system;rough set","","0","","15","","","11-12 May 2010","","IEEE","IEEE Conference Publications"
"Bike machine energy education","S. J. Rotter; J. L. Ravenscroft; R. Gonzalez","","Proceedings of the 2010 IEEE International Symposium on Sustainable Systems and Technology","20100712","2010","","","1","1","A bike-powered machine offers physical kinesthetic learning and play. This is equivalent to past generation's playing with Erector Sets to building Heathkits [1], [2]. The excitement of riding a bike machine offers a different path to learning that turns a short-term memory into a long-term memory. Bike machines provide energy education to the public in order for them to understand power generation which engineers frequently take for granted. People learn to correlate effort exerted with energy produced. The bike-powered machine group, a committee of Working Bikes Cooperative, Chicago, IL, creates bike-powered machines for schools, nature centers, museums and environmental science centers [3]. The eye-catching bike-powered machines are shown at street fairs, green festivals, energy fairs and educational institutions.","1095-2020;10952020","Electronic:978-1-4244-7095-2; POD:978-1-4244-7094-5","10.1109/ISSST.2010.5507694","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5507694","Continuing education;Education;Educational technology;Electrical engineering education;Engineering education;Engineering outreach;Power engineering education;informal K-12 education","Bicycles;Computer science education;Continuing education;Educational institutions;Home appliances;Machine learning;Power engineering and energy;Power engineering education;Switches;Wheels","educational institutions;motorcycles;power engineering education","Bike machines;Erector Sets;Kinesthetic learning;bike power machines;bike riding;educational institutions;energy education;energy fairs;green festivals;power generation;street fairs","","2","","9","","","17-19 May 2010","","IEEE","IEEE Conference Publications"
"Prediction of Material Mechanical Properties with Support Vector Machine","J. l. Tang; Q. r. Cai; Y. j. Liu","Coll. of Comput. Eng., Jiangsu Teachers Univ. of Technol., Changzhou, China","2010 International Conference on Machine Vision and Human-machine Interface","20100729","2010","","","592","595","Predicting model which refers to mechanical properties with material composition and techniques can be founded to reduce test times, increase efficiency and realize the optimization of process. This paper proposes to apply the Support Vector Machine to set up the nonlinear mapping from influence factors of material performances to mechanical properties. Taking the wheat straw-reinforced composite for instance, the prediction model based on support vector machine has been built. Besides, the model is used to optimize process parameters of injection molding and find the range of best parameters. The simulation result shows the founded model has preferable learning and generalization capabilities, which performs effectively in predicting mechanical properties. Therefore it is feasible to optimize process parameters and the technology is worthy to be applied and spread in the research of material performance.","","Electronic:978-1-4244-6596-5; POD:978-1-4244-6595-8","10.1109/MVHI.2010.58","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5532566","Support Vector Machine;material mechanical properties;predicting model","Artificial neural networks;Composite materials;Injection molding;Kernel;Machine learning;Machine learning algorithms;Materials testing;Mechanical factors;Predictive models;Support vector machines","","","","2","","9","","","24-25 April 2010","","IEEE","IEEE Conference Publications"
"Non-parametric estimation of integral probability metrics","B. K. Sriperumbudur; K. Fukumizu; A. Gretton; B. Schölkopf; G. R. G. Lanckriet","Department of ECE, UC San Diego, USA","2010 IEEE International Symposium on Information Theory","20100723","2010","","","1428","1432","In this paper, we develop and analyze a nonparametric method for estimating the class of integral probability metrics (IPMs), examples of which include the Wasserstein distance, Dudley metric, and maximum mean discrepancy (MMD). We show that these distances can be estimated efficiently by solving a linear program in the case of Wasserstein distance and Dudley metric, while MMD is computable in a closed form. All these estimators are shown to be strongly consistent and their convergence rates are analyzed. Based on these results, we show that IPMs are simple to estimate and the estimators exhibit good convergence behavior compared to ø-divergence estimators.","2157-8095;21578095","Electronic:978-1-4244-7892-7; POD:978-1-4244-7890-3; USB:978-1-4244-7891-0","10.1109/ISIT.2010.5513626","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5513626","","Convergence;Extraterrestrial measurements;Kernel;Machine learning;Mathematics;Probability;Q measurement;Statistics;Testing;Transportation","linear programming;probability","Dudley metric;Wasserstein distance;integral probability metrics;maximum mean discrepancy;non-parametric estimation","","0","","23","","","13-18 June 2010","","IEEE","IEEE Conference Publications"
"Experimental comparison of AdaBoost algorithms applied on leg detection with different range sensor setups","S. Jurić-Kavelj; I. Petrović","Department of Control and Computer Engineering, University of Zagreb, Faculty of Electrical Engineering and Computing, Croatia","19th International Workshop on Robotics in Alpe-Adria-Danube Region (RAAD 2010)","20100726","2010","","","267","272","When tracking people or other moving objects with a mobile robot, detection is the first and most critical step. At first most researchers focused on the tracking algorithms, but recently AdaBoost (supervised machine learning technique) was used for people legs detection in 2D range data. The results are promising, but it is unclear if the obtained classifier could be used on the data from another sensor. As it would be a huge inconvenience having to train a classifier for every sensor (setup), we set out to find if, and when is a classifier trained on one sensor setup transferable to another sensor setup. We tested two sensors in five different setups. In total, we acquired 2455 range scans. Experiments showed that the classifier trained on noisier sensor data performed better at classification of data coming from other sensor setups. Classifiers trained on less noisy data were shown to be overconfident, and performed poorly on noisy data. Furthermore, experiments showed that classifiers learned on ten times smaller datasets performed as good as classifiers trained on larger datasets. Since AdaBoost is a supervised learning technique, obtaining same classifier efficiency with significantly smaller dataset means less hand labeling of the data for the same results.","","Electronic:978-1-4244-6886-7; POD:978-1-4244-6885-0","10.1109/RAAD.2010.5524573","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5524573","2D range;AdaBoost;Hokuyo;SICK;legs","Boosting;Control engineering computing;Leg;Legged locomotion;Machine learning;Machine learning algorithms;Mobile robots;Object detection;Robot sensing systems;Thumb","feature extraction;image motion analysis;learning (artificial intelligence);mobile robots;noise;object detection;path planning;pattern classification;robot vision;sensor fusion;target tracking","2D range data;AdaBoost algorithm;data classification;leg detection;mobile robot;moving object tracking;noisier sensor data;noisy data;sensor setup;supervised machine learning technique","","1","","11","","","24-26 June 2010","","IEEE","IEEE Conference Publications"
"Super-resolution of mammograms","J. Zheng; O. Fuentes; M. Y. Leung","Department of Computer Science, The University of Texas at El Paso, El Paso, TX, U.S.A.","2010 IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology","20100715","2010","","","1","7","High-quality mammography is the most effective technology presently available for breast cancer screening. High resolution mammograms usually lead to more accurate diagnoses; however, they require large doses of radiation, which may have harmful effects. In this paper, we present a method to synthesize high-resolution mammograms from low-resolution inputs, which offers the potential of allowing accurate diagnoses while minimizing risks to patients. Our algorithm combines statistical machine learning methods and stochastic search to learn the mapping from low-resolution to high-resolution mammograms using a large dataset of training image pairs. Experimental results show that the super-resolution algorithm can generate high-quality, high-resolution breast mammograms from low-resolution input with no human intervention.","","Electronic:978-1-4244-6768-6; POD:978-1-4244-6766-2","10.1109/CIBCB.2010.5510384","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5510384","","Biomedical image processing;Breast cancer;Humans;Image generation;Image resolution;Interpolation;Layout;Machine learning algorithms;Mammography;Motion analysis","image resolution;learning (artificial intelligence);mammography;medical image processing;stochastic processes","breast cancer screening;high-quality mammography;high-resolution mammograms;low-resolution mammograms;mammogram superresolution;statistical machine learning methods;stochastic search;training image pairs","","0","","29","","","2-5 May 2010","","IEEE","IEEE Conference Publications"
"Learning to grasp objects with multiple contact points","Q. V. Le; D. Kamm; A. F. Kara; A. Y. Ng","Computer Science Department, Stanford University, USA","2010 IEEE International Conference on Robotics and Automation","20100715","2010","","","5062","5069","We consider the problem of grasping novel objects and its application to cleaning a desk. A recent successful approach applies machine learning to learn one grasp point in an image and a point cloud. Although those methods are able to generalize to novel objects, they yield suboptimal results because they rely on motion planner for finger placements. In this paper, we extend their method to accommodate grasps with multiple contacts. This approach works well for many human-made objects because it models the way we grasp objects. To further improve the grasping, we also use a method that learns the ranking between candidates. The experiments show that our method is highly effective compared to a state-of-the-art competitor.","1050-4729;10504729","Electronic:978-1-4244-5040-4; POD:978-1-4244-5038-1","10.1109/ROBOT.2010.5509508","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5509508","","Cleaning;Clouds;Fingers;Grasping;Machine learning;Motion detection;Robotics and automation;Robots;Shape;USA Councils","dexterous manipulators;image motion analysis;learning (artificial intelligence);robot vision","finger placements;machine learning;motion planner;multiple contact points;object grasping;point cloud","","21","","33","","","3-7 May 2010","","IEEE","IEEE Conference Publications"
