"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=6217236,6216579,6215930,6069610,6192275,6211951,6211593,6212078,6204822,6204931,6203834,6184367,6062422,6197069,6197511,6189269,6189911,6184715,6188249,6185168,6185372,6183851,6181557,6182026,6182648,6181186,6178971,6155600,6138903,6035797,6169827,6031933,6167418,6164596,5765926,6163109,6163052,6157411,6158005,6152736,6151559,6150203,6150170,6147691,6146992,6147002,6147677,6147681,6147705,6147671,6146975,6146951,6125249,6141418,6141406,6141529,6139406,5989791,6139331,6140734,6137359,6133127,6134362,6125536,6075721,6077699,6128432,6127052,6123447,6122757,6113187,6121698,6120516,6119007,6121740,6120442,6114688,6116173,6113057,6115322,6118120,6116377,6115850,6112394,6112062,6112350,6112449,6110959,5770269,6107850,6106507,6103723,6103548,6103446,6102514,6102379,6100070,6098517,6096875,6089070",2017/05/04 23:39:08
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A comparison study: Support vector machines for binary classification in machine learning","W. Zeng; J. Jia; Z. Zheng; C. Xie; L. Guo","Department of Computer Science, Zhejiang Normal University, Jinhua, China, 321004","2011 4th International Conference on Biomedical Engineering and Informatics (BMEI)","20111212","2011","3","","1621","1625","This paper focuses on the fundamental interpretation of various kinds of SVM which achieve comparable performance in dealing with different data sets of two classes in machine learning. Based on the fundamental of original SVM, L2RL2SVM, C-SVC, L1RL2SVM and ν-SVC can linearly handle the large-scale high-dimension data well. When the training data can not be separated by linear classifiers, KSVM is a crucial technique to overcome this shortage in a supervised-learning framework. In a semi-supervised learning framework, LapSVM, is the state-of-the-art technique which better handles both generalization of the classifier and out-of-sample problem. Experiments, on four common datasets of two classes with eleven algorithms, show that accuracies, utilizing different algorithms in different data sets, are different and prior geometrical information from training data is necessary to improve the accuracy when the machine learns to select a optimum model either in a supervised-learning framework or in a semi-supervised-learning framework. By analyzing the results of the experiments, we found that the distributional characteristics of each data set can be observed.","1948-2914;19482914","Electronic:978-1-4244-9352-4; POD:978-1-4244-9351-7","10.1109/BMEI.2011.6098517","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6098517","","Accuracy;Kernel;Machine learning;Optimization;Support vector machines;Training;Training data","classification;learning (artificial intelligence);medical computing;support vector machines","ν-SVC;C-SVC;L1RL2SVM;L2RL2SVM;SVM;binary classification;linear classifiers;machine learning;semisupervised learning;supervised learning;support vector machines","","2","","25","","","15-17 Oct. 2011","","IEEE","IEEE Conference Publications"
"A machine learning based approach for predicting undisclosed attributes in social networks","G. Kótyuk; L. Buttyan","Laboratory of Cryptography and Systems Security (CrySyS), Budapest University of Technology and Economics","2012 IEEE International Conference on Pervasive Computing and Communications Workshops","20120510","2012","","","361","366","Online Social Networks have gained increased popularity in recent years. However, besides their many advantages, they also represent privacy risks for the users. In order to control access to their private information, users of OSNs are typically allowed to set the visibility of their profile attributes, but this may not be sufficient, because visible attributes, friendship relationships, and group memberships can be used to infer private information. In this paper, we propose a fully automated approach based on machine learning for inferring undisclosed attributes of OSN users. Our method can be used for both classification and regression tasks, and it makes large scale privacy attacks feasible. We also provide experimental results showing that our method achieves good performance in practice.","","Electronic:978-1-4673-0907-3; POD:978-1-4673-0905-9","10.1109/PerComW.2012.6197511","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6197511","","Communities;Correlation;Input variables;Neurons;Privacy;Social network services;Training","data privacy;learning (artificial intelligence);pattern classification;regression analysis;social networking (online)","classification tasks;friendship relationships;group memberships;large scale privacy attacks;machine learning;online social networks;privacy risks;private information access control;profile attributes;regression tasks;undisclosed attribute prediction;visible attributes","","2","","10","","","19-23 March 2012","","IEEE","IEEE Conference Publications"
"Extreme Learning Machine for Regression and Multiclass Classification","G. B. Huang; H. Zhou; X. Ding; R. Zhang","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","20120315","2012","42","2","513","529","Due to the simplicity of their implementations, least square support vector machine (LS-SVM) and proximal support vector machine (PSVM) have been widely used in binary classification applications. The conventional LS-SVM and PSVM cannot be used in regression and multiclass classification applications directly, although variants of LS-SVM and PSVM have been proposed to handle such cases. This paper shows that both LS-SVM and PSVM can be simplified further and a unified learning framework of LS-SVM, PSVM, and other regularization algorithms referred to extreme learning machine (ELM) can be built. ELM works for the “generalized” single-hidden-layer feedforward networks (SLFNs), but the hidden layer (or called feature mapping) in ELM need not be tuned. Such SLFNs include but are not limited to SVM, polynomial network, and the conventional feedforward neural networks. This paper shows the following: 1) ELM provides a unified learning platform with a widespread type of feature mappings and can be applied in regression and multiclass classification applications directly; 2) from the optimization method point of view, ELM has milder optimization constraints compared to LS-SVM and PSVM; 3) in theory, compared to ELM, LS-SVM and PSVM achieve suboptimal solutions and require higher computational complexity; and 4) in theory, ELM can approximate any target continuous function and classify any disjoint regions. As verified by the simulation results, ELM tends to have better scalability and achieve similar (for regression and binary class cases) or much better (for multiclass cases) generalization performance at much faster learning speed (up to thousands times) than traditional SVM and LS-SVM.","1083-4419;10834419","","10.1109/TSMCB.2011.2168604","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035797","Extreme learning machine (ELM);feature mapping;kernel;least square support vector machine (LS-SVM);proximal support vector machine (PSVM);regularization network","Approximation methods;Feedforward neural networks;Kernel;Machine learning;Optimization;Support vector machines;Training","computational complexity;feedforward neural nets;learning (artificial intelligence);least squares approximations;optimisation;pattern classification;polynomials;regression analysis;support vector machines","ELM;LS-SVM;PSVM;binary classification applications;computational complexity;conventional feedforward neural networks;extreme learning machine;feature mapping;generalized single-hidden-layer feedforward networks;least square support vector machine;multiclass classification;optimization method;polynomial network;proximal support vector machine;regression;regularization algorithms","","1005","2","56","","20111006","April 2012","","IEEE","IEEE Journals & Magazines"
"Design and performance analysis of energy efficient technique for wireless multimedia sensor networks using machine learning algorithm","K. Akalu; K. Raimond","Electrical and Computer Engineering Department, Addis Ababa Institute of Technology, AAU, Ethiopia","2011 World Congress on Information and Communication Technologies","20120130","2011","","","1127","1132","Wireless multimedia sensor networks (WMSNs) are developed from wireless sensor networks (WSNs) for acquiring and transmitting multimedia data such as images, audio and video streams and scalar data. Energy is the most critical factor in sensor networks. Its power requirement is satisfied by low capacity and low power battery. Reduction of communicated multimedia volume is an important step to reduce energy consumption in WMSNs because of the relatively huge amount of data collected by the nodes compared with scalar sensors. One of the algorithms in machine learning which can reduce the dimensionality is unsupervised learning Self Organizing Map (SOM) which typically performs dimensionality reduction through pattern clustering. In this work, an attempt has been made to reduce the amount of transmitted information in WMSNs using SOM in order to increase the lifetime of the network. The proposed design has shown an increase of 158.03 % in network lifetime compared to JPEG.","","Electronic:978-1-4673-0126-8; POD:978-1-4673-0127-5","10.1109/WICT.2011.6141406","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6141406","Self Organizing Map;Wireless Multimedia Sensor Networks;Wireless Sensor Networks","Base stations;Computational modeling;Energy consumption;Head;Image coding;Transform coding;Vectors","learning (artificial intelligence);multimedia communication;self-organising feature maps;wireless sensor networks","dimensionality reduction;energy efficient technique;machine learning;multimedia data;pattern clustering;performance analysis;unsupervised learning self organizing map;wireless multimedia sensor networks;wireless sensor networks","","0","","15","","","11-14 Dec. 2011","","IEEE","IEEE Conference Publications"
"An efficient machine learning approach to low-complexity filtering in biological sequences","C. A. Barber; C. S. Oehmen","Pacific Northwest National Laboratory, Richland, Washington 99352, USA","2012 IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB)","20120614","2012","","","237","243","Biological sequences contain low-complexity regions (LCRs) which produce superfluous matches in homology searches, and lead to slow execution of database search algorithms such as BLAST. These regions are efficiently identified by low-complexity filtering algorithms such as SDUST and SEG, which are included in the BLAST tool-suite. These algorithms target differing notions of complexity, so an algorithm which combines their sensitivities is pursued. A variety of features are derived from these algorithms, as well as a new filtering algorithm based on Lempel-Ziv complexity. Artificial sequences with known LCRs are used to train and evaluate an SVM classifier, which significantly outperforms the standalone filtering algorithms.","","Electronic:978-1-4673-1191-5; POD:978-1-4673-1190-8","10.1109/CIBCB.2012.6217236","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6217236","bioinformatics;complexity measures;filtering","Accuracy;Complexity theory;DNA;Entropy;Markov processes;Proteins;Support vector machines","bioinformatics;biological techniques;learning (artificial intelligence);molecular biophysics;search problems;support vector machines","Lempel-Ziv complexity based filtering algorithm;SDUST;SEG;SVM classifier;biological sequences;database search algorithms;homology searches;low complexity filtering algorithms;low complexity regions;machine learning approach;superfluous matches;support vector machine","","1","","5","","","9-12 May 2012","","IEEE","IEEE Conference Publications"
"Using machine learning to detect problems in ECG data collection","N. Kalkstein; Y. Kinar; M. Na'aman; N. Neumark; P. Akiva","Medial Research, Ramot-Hashavim, Israel","2011 Computing in Cardiology","20120309","2011","","","437","440","We describe a data-driven approach, using a combination of machine learning algorithms to solve the 2011 Physionet/Computing in Cardiology (CinC) challenge - identifying data collection problems at 12 leads electrocardiography (ECG). Our data-driven approach reaches an internal (cross-validation) accuracy of almost 93% on the training set, and accuracy of 91.2% on the test set.","0276-6574;02766574","Electronic:978-1-4577-0611-0; POD:978-1-4577-0612-7","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6164596","","Accuracy;Electrocardiography;Lead;Machine learning;Medical services;Training;Vegetation","electrocardiography;learning (artificial intelligence);medical signal processing","ECG data collection;data collection problem identification;data-driven approach;electrocardiography;machine learning","","0","","7","","","18-21 Sept. 2011","","IEEE","IEEE Conference Publications"
"Multi-stage classification of Gyrodactylus species using machine learning and feature selection techniques","R. Ali; A. Hussain; J. E. Bron; A. P. Shinn","Institute of Computing Science and Mathematics, School of Natural Sciences, University of Stirling, Stirling FK9 4LA, SCOTLAND, UK","2011 11th International Conference on Intelligent Systems Design and Applications","20120102","2011","","","457","462","This study explores the use of multi-stage machine learning based classifiers and feature selection techniques in the classification and identification of fish parasites. Accurate identification of pathogens is a key to their control and as a proof of concept, the monogenean worm genus Gyrodactylus, economically important pathogens of cultured fish species, an ideal test-bed for the selected techniques. Gyrodactylus salaris is a notifiable pathogen of salmonids and a semi-automated / automated method permitting its confident species discrimination from other non-pathogenic species is sought to assist disease diagnostics during periods of a suspected outbreak. This study will assist pathogen management in wild and cultured fish stocks, providing improvements in fish health and welfare and accompanying economic benefits. Multi-stage classification is proposed as a solution to this problem because use of a single classifier is not sufficient to ensure that all the species are accurately classified. The results show that Linear Discriminant Analysis (LDA) with 21 features is the best classifier for performing the initial classification of Gyrodactylus species. This first stage classification which allocates specimens to species-groups is then followed by a second or subsequent round of classification using additional classifiers to allocate species to their true class within the species-groups.","2164-7143;21647143","Electronic:978-1-4577-1676-8; POD:978-1-4799-1697-9","10.1109/ISDA.2011.6121698","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6121698","Gyrodactylus;feature selection;machine learning;species classification","Aquaculture;Feature extraction;Machine learning;Niobium;Pathogens;Scattering;Training","aquaculture;diseases;industrial economics;learning (artificial intelligence);pattern classification","Gyrodactylus salaris;Gyrodactylus species;disease diagnostics;economic benefits;feature selection technique;fish health;fish parasite classification;fish parasite identification;linear discriminant analysis;monogenean worm genus Gyrodactylus;multistage classification;multistage machine learning based classifier;pathogen identification;pathogen management;salmonids","","0","","22","","","22-24 Nov. 2011","","IEEE","IEEE Conference Publications"
"A Comparative Assessment of Conventional and Machine-Learning-Based Scoring Functions in Predicting Binding Affinities of Protein-Ligand Complexes","H. M. Ashtawy; N. R. Mahapatra","Dept. of Electr. & Comput. Eng., Michigan State Univ., East Lansing, MI, USA","2011 IEEE International Conference on Bioinformatics and Biomedicine","20120102","2011","","","627","630","Accurately predicting the binding affinities of large sets of protein-ligand complexes is a key challenge in computational biomolecular science, with applications in drug discovery, chemical biology, and structural biology. Since a scoring function (SF) is used to score, rank, and identify drug leads, the fidelity with which it predicts the affinity of a ligand candidate for a protein's binding site has a significant bearing on the accuracy of virtual screening. Despite intense efforts in developing conventional SFs, which are either force-field based, knowledge-based, or empirical, their limited predictive power has been a major roadblock toward cost-effective drug discovery. Therefore, in this work, we explore a range of novel SFs employing different machine-learning (ML) approaches in conjunction with physicochemical features characterizing protein-ligand complexes. We assess the scoring accuracies of these new ML-based SFs as well as those of conventional SFs in the context of the 2007 PDBbind benchmark dataset on both diverse and protein-family-specific test sets. We find that the best performing ML-based SF has a Pearson's correlation coefficient of 0.771 between predicted and measured binding affinities compared to 0.644 achieved by a state-of-the-art conventional SF.","","Electronic:978-0-7695-4574-5; POD:978-1-4577-1799-4","10.1109/BIBM.2011.128","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6120516","Machine learning;protein-ligand binding affinity;scoring function;scoring power;structure-based drug design","Correlation;Drugs;Proteins;Radio frequency;Software;Support vector machines;Training","drugs;learning (artificial intelligence);medical computing;proteins","binding affinity prediction;chemical biology;comparative assessment;computational biomolecular science;drug discovery;empirical SF;force-field based SF;knowledge-based SF;machine-learning-based scoring functions;protein-family-specific test sets;protein-ligand complex;structural biology;virtual screening","","2","","11","","","12-15 Nov. 2011","","IEEE","IEEE Conference Publications"
"Incremental support vector machine algorithm based on multi-kernel learning","Z. Li; J. Zhang; S. Hu","Research Institute of Unmanned Aircraft, Nanjing University of Aeronautics and Astronautics, Nanjing 210016, P. R. China","Journal of Systems Engineering and Electronics","20120117","2011","22","4","702","706","A new incremental support vector machine (SVM) algorithm is proposed which is based on multiple kernel learning. Through introducing multiple kernel learning into the SVM incremental learning, large scale data set learning problem can be solved effectively. Furthermore, different punishments are adopted in allusion to the training subset and the acquired support vectors, which may help to improve the performance of SVM. Simulation results indicate that the proposed algorithm can not only solve the model selection problem in SVM incremental learning, but also improve the classification or prediction precision.","","","10.3969/j.issn.1004-4132.2011.04.021","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6077699","incremental learning;multiple kernel learning (MKL);support vector machine (SVM)","Capacitance-voltage characteristics;Educational institutions;Kernel;Machine learning;Optimization;Support vector machines;Training","","","","3","","","","","Aug. 2011","","BIAI","BIAI Journals & Magazines"
"Machine Learning for the New York City Power Grid","C. Rudin; D. Waltz; R. N. Anderson; A. Boulanger; A. Salleb-Aouissi; M. Chow; H. Dutta; P. N. Gross; B. Huang; S. Ierome; D. F. Isaac; A. Kressner; R. J. Passonneau; A. Radeva; L. Wu","Massachusetts Institute of Technology Columbia University, Cambridge New York","IEEE Transactions on Pattern Analysis and Machine Intelligence","20111219","2012","34","2","328","345","Power companies can benefit from the use of knowledge discovery methods and statistical machine learning for preventive maintenance. We introduce a general process for transforming historical electrical grid data into models that aim to predict the risk of failures for components and systems. These models can be used directly by power companies to assist with prioritization of maintenance and repair work. Specialized versions of this process are used to produce (1) feeder failure rankings, (2) cable, joint, terminator, and transformer rankings, (3) feeder Mean Time Between Failure (MTBF) estimates, and (4) manhole events vulnerability rankings. The process in its most general form can handle diverse, noisy, sources that are historical (static), semi-real-time, or real-time, incorporates state-of-the-art machine learning algorithms for prioritization (supervised ranking or MTBF), and includes an evaluation of results via cross-validation and blind test. Above and beyond the ranked lists and MTBF estimates are business management interfaces that allow the prediction capability to be integrated directly into corporate planning and decision support; such interfaces rely on several important properties of our general modeling approach: that machine learning features are meaningful to domain experts, that the processing of data is transparent, and that prediction results are accurate enough to support sound decision making. We discuss the challenges in working with historical electrical grid data that were not designed for predictive purposes. The “rawness” of these data contrasts with the accuracy of the statistical models that can be obtained from the process; these models are sufficiently accurate to assist in maintaining New York City's electrical grid.","0162-8828;01628828","","10.1109/TPAMI.2011.108","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5770269","Applications of machine learning;computational sustainability;electrical grid;knowledge discovery;reliability.;smart grid;supervised ranking","Data models;Machine learning;Maintenance engineering;Power cables;Power grids","learning (artificial intelligence);power engineering computing;power grids;statistical analysis","MTBF;New York City power grid;decision making;electrical grid data;feeder Mean Time Between Failure;feeder failure rankings;knowledge discovery methods;manhole events vulnerability rankings;power companies;preventive maintenance;statistical machine learning;statistical models;transformer rankings","","39","1","39","","20110519","Feb. 2012","","IEEE","IEEE Journals & Magazines"
