"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1408370,1410011,1402072,1400832,1398364,1397824,1394131,1392378,1383485,1383490,1382061,1382229,1382164,1382249,1382248,1384946,1378319,1383329,1380068,1381143,1374162,1368114,1357950,1354293,1351546,1340997,1341903,1342026,1342580,1332485,1332556,1336112,1334041,1329637,1330994,1323815,1263262,1320004,1318579,1317470,1315213,1315935,1307819,1306567,1299784,1298889,1291898,1291980,1295194,1290275,1291088,1288234,1280515,1275921,1275555,1275749,1273268,1273526,1259893,1259890,1259895,1265733,1264428,1259912,1266392,1260622,1259659,1253997,1248174,1246819,1245114,1245453,1244608,1242124,1238242,1238174,1236474,1234034,1227381,1227635,1225946,1227591,1223772,1223907,1222509,1221975,1214716,1215107,1215411,1215156,1201709,1202852,1202780,1199705,1196755,1186038,1183887,1180784,1180783,1180811",2017/05/04 23:48:53
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Learning in Region-Based Image Retrieval with Generalized Support Vector Machines","I. Gondra; D. R. Heisterkamp","Oklahoma State University, Stillwater, OK","2004 Conference on Computer Vision and Pattern Recognition Workshop","20050124","2004","","","149","149","Relevance feedback approaches based on support vector machine (SVM) learning have been applied to significantly improve retrieval performance in content-based image retrieval (CBIR). Those approaches require the use of fixed-length image representations because SVM kernels represent an inner product in a feature space that is a non-linear transformation of the input space. Many region-based CBIR approaches create a variable length image representation and define a similarity measure between two variable length representations. The standard SVM approach cannot be applied to this approach because it violates the requirements that SVM places on the kernel. Fortunately, a generalized SVM (GSVM) has been developed that allows the use of an arbitrary kernel. In this paper, we present an initial investigation into utilizing a GSVM-based relevance feedback learning algorithm. Since GSVM does not place restrictions on the kernel, any image similarity measure can be used. In particular, the proposed approach uses an image similarity measure developed for region-based, variable length representations. Experimental results over real world images demonstrate the efficacy of the proposed method.","","","10.1109/CVPR.2004.110","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1384946","","Computer science;Content based retrieval;Feedback;Image representation;Image retrieval;Image segmentation;Kernel;Length measurement;Machine learning;Support vector machines","","","","2","","","","","27-02 June 2004","","IEEE","IEEE Conference Publications"
"Clusters with core-tail hierarchical structure and their applications to machine learning classification","D. Fradkin; I. B. Muchnik","Dept. of Comput. Sci., The State Univ. of New Jersey, Piscataway, NJ, USA","Integration of Knowledge Intensive Multi-Agent Systems, 2003. International Conference on","20031117","2003","","","640","645","We present a method for analysis of clustering results. This method represents every cluster as a stratified hierarchy of its subsets of objects (strata) ordered along a scale of their internal similarities. The ""layered structures"" can be described as a tool for interpretation of individual clusters rather than for describing the model of the entire data. It can be used not only for comparisons of different clusters, but also for improving existing methods to get ""good"" clusters. We show that this approach can also be used for improving supervised machine learning methods, particularly ""active machine learning"" methods, by specific analysis and preprocessing of a training data.","","POD:0-7803-7958-6","10.1109/KIMAS.2003.1245114","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1245114","","Application software;Clustering algorithms;Computer science;Data analysis;Data mining;Euclidean distance;Machine learning;Polynomials;Software packages;Training data","learning (artificial intelligence);pattern classification;pattern clustering;statistical analysis","core-tail hierarchical structure cluster analysis;machine learning classification;supervised machine learning;training data preprocessing","","0","","7","","","30 Sept.-4 Oct. 2003","","IEEE","IEEE Conference Publications"
"Comparison of machine learning algorithms in Chinese Web filtering","A-Ning Du; Bin-Xing Fang","Res. Center of Comput. Network & Inf. Security Technol., Harbin Inst. of Technol., China","Proceedings of 2004 International Conference on Machine Learning and Cybernetics (IEEE Cat. No.04EX826)","20050124","2004","4","","2526","2531 vol.4","Web filtering based on user's demand has witnessed a booming interest due to the development of Internet In the research community the dominant approach to this problem is based on machine learning algorithms. Web filtering is an inductive process which automatically builds a filter by learning from a set of pre-assigned document and the description of user's interest, and then uses it to assign unfiltered Web pages. This survey compares four main machine learning algorithms (decision tree, rule induction, Bayesian algorithm and support vector machines) on Chinese web pages set of their filtering effectiveness and computer resources consumed, focusing on the influence of feature set size and training set size. It induces that support vector machines earn high score in Chinese Web filtering applications.","","POD:0-7803-8403-2","10.1109/ICMLC.2004.1382229","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1382229","","Application software;Bayesian methods;Decision trees;Filtering algorithms;Information filtering;Information filters;Internet;Machine learning algorithms;Support vector machines;Web pages","Bayes methods;Internet;decision trees;information filters;learning (artificial intelligence);support vector machines","Bayesian algorithm;Chinese Web filtering;Internet;computer resource;decision tree;machine learning algorithm;rule induction;support vector machine;unfiltered Web page","","1","","9","","","26-29 Aug. 2004","","IEEE","IEEE Conference Publications"
"Application of machine learning techniques to Web-based intelligent learning diagnosis system","Chenn-Jung Huang; Ming-Chou Liu; San-Shine Chu; Chin-Lun Cheng","Inst. of Learning Technol., Nat. Hualien Teachers Coll., Taiwan","Hybrid Intelligent Systems, 2004. HIS '04. Fourth International Conference on","20050404","2004","","","242","247","This work proposes an intelligent learning diagnosis system that supports a Web-based thematic learning model, which aims to cultivate learners' ability of knowledge integration by giving the learners the opportunities to select the learning topics that they are interested, and gain knowledge on the specific topics by surfing on the Internet to search related learning courseware and discussing what they have learned with their colleagues. Based on the log files that record the learners' past online learning behavior, an intelligent diagnosis system is used to give appropriate learning guidance to assist the learners in improving their study behaviors and grade online class participation for the instructor. The achievement of the learners' final reports can also be predicted by the diagnosis system accurately. Our experimental results reveal that the proposed learning diagnosis system can efficiently help learners to expand their knowledge while surfing in cyberspace Web-based ""theme-based learning"" model.","","POD:0-7695-2291-2","10.1109/ICHIS.2004.25","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1410011","Fuzzy expert system;K-nearest neighbor;Learning diagnosis;Naïve Bayes-ian classifier;Support vector machines;Theme-based learning;Web-based learning","Bayesian methods;Courseware;Education;Educational institutions;Hybrid intelligent systems;Intelligent systems;Internet;Learning systems;Machine learning;Support vector machines","Internet;belief networks;courseware;expert systems;fuzzy systems;intelligent tutoring systems;learning (artificial intelligence);pattern classification;support vector machines","Internet;Naive Bayesian classifier;Web-based intelligent learning diagnosis system;courseware;cyberspace Web-based theme-based learning model;fuzzy expert system;k-nearest neighbor;knowledge integration;machine learning techniques;online learning;support vector machines","","4","","8","","","5-8 Dec. 2004","","IEEE","IEEE Conference Publications"
"Virtual machine learning: thinking like a computer architect","M. Hind","IBM Thomas J. Watson Res. Center, NY, USA","International Symposium on Code Generation and Optimization","20050404","2005","","","11","","Summary form only given. Modern commercial software is written in languages that execute on a virtual machine. Such languages often have dynamic features that require rich runtime support and preclude traditional static optimization. Implementations of these languages have employed dynamic optimization strategies to achieve significant performance improvements. In this paper the author describes some of these strategies and demonstrates their effectiveness. The author then argues that further advances in this field are being hindered by our bias toward adapting traditional static optimization techniques. Instead, we need to think more like a computer architect to create new approaches to optimization in virtual machines.","","POD:0-7695-2298-X","10.1109/CGO.2005.37","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1402072","","Machine learning;Runtime;Virtual machining","learning (artificial intelligence);optimising compilers;virtual machines","commercial software;computer architect;dynamic optimization strategy;static optimization strategy;virtual machine learning","","0","","","","","20-23 March 2005","","IEEE","IEEE Conference Publications"
"Using machine learning for estimating the defect content after an inspection","F. Padberg; T. Ragg; R. Schoknecht","Karlsruhe Univ., Germany","IEEE Transactions on Software Engineering","20040219","2004","30","1","17","28","We view the problem of estimating the defect content of a document after an inspection as a machine learning problem: The goal is to learn from empirical data the relationship between certain observable features of an inspection (such as the total number of different defects detected) and the number of defects actually contained in the document. We show that some features can carry significant nonlinear information about the defect content. Therefore, we use a nonlinear regression technique, neural networks, to solve the learning problem. To select the best among all neural networks trained on a given data set, one usually reserves part of the data set for later cross-validation; in contrast, we use a technique which leaves the full data set for training. This is an advantage when the data set is small. We validate our approach on a known empirical inspection data set. For that benchmark, our novel approach clearly outperforms both linear regression and the current standard methods in software engineering for estimating the defect content, such as capture-recapture. The validation also shows that our machine learning approach can be successful even when the empirical inspection data set is small.","0098-5589;00985589","","10.1109/TSE.2004.1265733","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265733","","Curve fitting;Estimation error;Inspection;Linear regression;Machine learning;Neural networks;Quality assurance;Software engineering;Software standards;Software testing","learning (artificial intelligence);neural nets;program testing;program verification;regression analysis","defect content estimation;empirical methods;machine learning;neural network;nonlinear regression technique;program validation;software engineering;software inspection","","11","","25","","","Jan. 2004","","IEEE","IEEE Journals & Magazines"
"Fuzzy repertory table: a method for acquiring knowledge about input variables to machine learning algorithm","J. J. Castro-Schez; J. L. Castro; J. M. Zurita","Dept. of Comput. Sci., Univ. of Castilla-La Mancha, Spain","IEEE Transactions on Fuzzy Systems","20040219","2004","12","1","123","139","In this paper, we develop a technique for acquiring the finite set of attributes or variables which the expert uses in a classification problem for characterising and discriminating a set of elements. This set will constitute the schema of a training data set to which an inductive learning algorithm will be applied. The technique developed uses ideas taken from psychology, in particular from Kelly's Personal Construct Theory. While we agree that Kelly's repertory grid technique is an efficient way to do this, it has several disadvantages which we shall try to solve by using a fuzzy repertory table. With the suggested technique, we aim to obtain the set of attributes and values which the expert can use to ""measure"" the object type (class) on the classification problem in some way. We will also acquire some general rules to identify the expert's evident knowledge; these rules will comprise concepts belonging to their conceptual structure.","1063-6706;10636706","","10.1109/TFUZZ.2003.822684","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1266392","","Expert systems;Fuzzy systems;Input variables;Knowledge acquisition;Knowledge based systems;Knowledge engineering;Machine learning;Machine learning algorithms;Psychology;Training data","fuzzy logic;fuzzy set theory;knowledge acquisition;learning (artificial intelligence)","classification problem;finite set of attributes;fuzzy repertory grid;fuzzy repertory table;input variables;knowledge acquisition;knowledge-based systems;machine learning algorithm;personal construct theory","","12","","33","","","Feb. 2004","","IEEE","IEEE Journals & Magazines"
"Incremental machine learning theorem and algorithm based on DSM method","Jian-Guo Zhou; De-Lin Xia; Liu-Yan Pu; Jing Wu; Hao Jiang","Sch. of Electron. Inf., Wuhan Univ., Hubei, China","Proceedings of 2004 International Conference on Machine Learning and Cybernetics (IEEE Cat. No.04EX826)","20050124","2004","4","","2202","2207 vol.4","An incremental and efficient algorithm is the key to knowledge acquisition and machine learning. The DSM is defined in the paper, the important principle of the best knowledge reduction is found and a new method is put forward through analyzing the elements m<sub>u</sub><sup>d</sup> & m<sub>u</sub><sup>s</sup> in DSM. The reduction efficiency is improved and the reduced rules are the least and the number of the attributes in the rules is the least too, so it is the best knowledge reduction. We also put forward a new incremental learning method based on DSM. The method can automatically maintain the rules when the new instances are added.","","POD:0-7803-8403-2","10.1109/ICMLC.2004.1382164","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1382164","","Data mining;Databases;Information systems;Knowledge acquisition;Learning systems;Machine learning;Machine learning algorithms;Mathematics;Optimization methods;Set theory","knowledge engineering;learning (artificial intelligence)","difference-similitude matrix;incremental machine learning theorem;knowledge acquisition;knowledge reduction","","0","","7","","","26-29 Aug. 2004","","IEEE","IEEE Conference Publications"
"Exploring machine learning techniques for software size estimation","E. N. Regolin; G. A. de Souza; A. R. T. Pozo; S. R. Vergilio","Comput. Sci. Dept., Fed. Univ. of Parana, Curitiba, Brazil","23rd International Conference of the Chilean Computer Science Society, 2003. SCCC 2003. Proceedings.","20031117","2003","","","130","136","Prediction models are fundamental in the early stages of the software development when many times, decisions must be taken without the required information. A typical information that is not available in these stages is software size metrics, such as lines of code (LOC). Models for LOC estimation are obtained from historical data and statistical regression methods are usually applied. These characteristics make this estimation problem especially interesting for the application of machine learning techniques. To explore this fact, this work applies Genetic Programming and Neural Networks techniques for LOC estimation. Two different data sets were used to obtain two models using respectively the metrics function points and number of components. The models are analysed and the machine learning techniques are compared.","1522-4902;15224902","POD:0-7695-2008-1","10.1109/SCCC.2003.1245453","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1245453","","Application software;Computer science;Equations;Genetic programming;Lab-on-a-chip;Machine learning;Maximum likelihood estimation;Network-on-a-chip;Neural networks;Predictive models","genetic algorithms;learning (artificial intelligence);neural nets;regression analysis;software engineering","LOC estimation;genetic programming;lines of code;machine learning;neural networks;software development;software size estimation;software size metrics;statistical regression","","2","","19","","","6-7 Nov. 2003","","IEEE","IEEE Conference Publications"
"Machine learning: my favorite results, directions, and open problems","A. Blum","Carnegie-Mellon University","44th Annual IEEE Symposium on Foundations of Computer Science, 2003. Proceedings.","20031020","2003","","","2","2","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01238174.png"" border=""0"">","0272-5428;02725428","POD:0-7695-2040-5","10.1109/SFCS.2003.1238174","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1238174","","Computer science;Machine learning","","","","0","","","","","11-14 Oct. 2003","","IEEE","IEEE Conference Publications"
