"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=7520452,7520541,7470553,7519735,7520547,7515969,7518347,7516081,7515884,7516235,7516046,7518453,7515919,7518289,7514414,7518283,7448943,7517319,7513866,7514619,7514608,7514941,7510964,7510732,7510831,7509796,7508798,7508071,7507155,7502343,7508131,7506659,7507143,7506732,7507375,7477319,7477328,7477477,7477459,7504034,7506134,7452659,7503401,7503289,7502793,7502944,7501699,7500237,7169562,7500246,7501926,7501830,7498962,7480758,7479502,7496197,7496053,7495589,7495514,7496193,7495831,7495698,7495970,7496039,7496171,7496072,7496073,7498445,7496046,7495681,7496054,7498518,7496020,7495870,7314894,7493969,7458200,7493964,7495045,7493906,7494226,7493382,7492646,7492647,7491575,7493399,7493362,7492799,7493520,7493240,7492800,7492580,7490132,7490053,7490128,7489548,7486563,7487381,7486355,7485675",2017/05/05 22:33:59
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi features combination for automated zooplankton classification","R. Wang; J. Dai; H. Zheng; G. Ji; X. Qiao","College of Information Science and Engineering, Ocean University of China, Qingdao 266100, China","OCEANS 2016 - Shanghai","20160609","2016","","","1","5","Zooplankton are the key components of marine food webs. The abundance of it influences the ocean ecological balance. To efficiently monitor species richness of zooplankton and protect marine environment, marine biologists and computer vision experts started to research automated zooplankton classification system with computer vision technologies. Most current research focuses on achieving high classification accuracy. In this paper, we propose a new system based on multi features combination to enhance the zooplankton classification performance. In our system, the geometric and grayscale features, Local Binary Patterns features, and Inner-distance Shape Context features are extracted as low-level features. According to the properties of machine learning algorithms, an appropriate algorithm is chosen to generate middle-level features by processing all kinds of low-level features. After that, we concatenate middle-level features and apply Support Vector Machine to get the final classifier. By combining different types of features, the system we proposed can capture richer biomorphic information than those with a few features. And the experimental results also show that our system achieves better classification performance.","","Electronic:978-1-4673-9724-7; POD:978-1-4673-9725-4","10.1109/OCEANSAP.2016.7485675","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7485675","","Computer vision;Context;Feature extraction;Gray-scale;Machine learning algorithms;Shape;Support vector machines","environmental monitoring (geophysics);feature extraction;geophysical image processing;image classification;learning (artificial intelligence);microorganisms;support vector machines","automated zooplankton classification;biomorphic information;computer vision technology;inner-distance shape context feature extraction;local binary pattern feature feature extraction;machine learning algorithm;marine environment protection;marine food web;multifeatures combination;ocean ecological balance;support vector machine;zooplankton species richness monitoring","","","","10","","","10-13 April 2016","","IEEE","IEEE Conference Publications"
"Deep learning: Architectures, algorithms, applications","R. Memisevic","University of Montreal","2015 IEEE Hot Chips 27 Symposium (HCS)","20160707","2015","","","1","127","This article consists of a collection of slides from the author's conference presentation. Some of the topics covered include: Machine learning 101: Neural nets, backprop, RNNs; Applications; Structured prediction; Unsupervised learning; ""Neural Programs""; Architecture exploration; Towards hardware-friendlier DL; and Software.","","Electronic:978-1-4673-8885-6; POD:978-1-4673-8886-3","10.1109/HOTCHIPS.2015.7477319","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7477319","","Artificial neural networks;Learning (artificial intelligence);Machine learning;Recurrent neural networks;Unsupervised learning","neural nets;recurrent neural nets;unsupervised learning","RNN;deep learning algorithms;deep learning applications;deep learning architecture;hardware-friendlier DL;neural programs;unsupervised learning","","","","","","","22-25 Aug. 2015","","IEEE","IEEE Conference Publications"
"Similarity-Based Malware Classification Using Hidden Markov Model","M. Imran; M. T. Afzal; M. A. Qadir","","2015 Fourth International Conference on Cyber Security, Cyber Warfare, and Digital Forensic (CyberSec)","20160616","2015","","","129","134","The problem of malware classification has gained the attention of cyber security community due to the following facts: (1) thousands of new malware are generated every day (2) the global losses caused by malware are in billions of dollars every year. In this paper a novel malware classification scheme is proposed that is based on Hidden Markov Models (HMMs) and discriminative classifiers. Sequences of system calls generated by malware during execution are represented as observation sequences to train the HMMs. Individual malware samples are then evaluated against these models to generate similarity vectors, which are used to predict the class label for an unknown sample by training a discriminative classifier. Our novel combination of HMMs, dynamic program features and discriminative classifier has shown promising results in experiments performed using system call logs of real malware.","","Electronic:978-1-4673-8499-5; POD:978-1-4673-8500-8","10.1109/CyberSec.2015.33","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7491575","Hidden Markov Model;Malware classification;similarity-based classification","Computer security;Computers;Feature extraction;Hidden Markov models;Machine learning algorithms;Malware;Training","dynamic programming;hidden Markov models;invasive software;pattern classification;vectors","HMM;cyber security community;discriminative classifiers;dynamic program features;hidden Markov model;malware;similarity vectors;similarity-based malware classification;system call logs","","","","27","","","29-31 Oct. 2015","","IEEE","IEEE Conference Publications"
"Cognitive security: securing the burgeoning landscape of mobile networks","Y. Zheng; A. Moini; W. Lou; Y. T. Hou; Y. Kawamoto","Virginia Tech","IEEE Network","20160718","2016","30","4","66","71","The rapid proliferation of personal wearable as well as embedded devices point to the emergence of networks of unprecedented size and complexity in the near future. Unfortunately, traditional network security solutions fall short of addressing the unique security requirements of the emerging environment given their general emphasis on administratively managed, preconfigured security context and strong physical security mechanisms. To cope with the security challenges of this emerging environment, novel cognitive-inspired security architectures have been proposed that emphasize dynamic, autonomous trust management. Cognitive security systems take advantage of sensing and computing capabilities of smart devices to analyze raw sensor data and apply machine learning techniques to make security decisions. In this article, we present a canonical representation of cognitive security architectures and examine the practicality of using these architectures to address the security challenges of rapidly growing networks of mobile/embedded autonomous devices including the ability to identify threats simply based on symptoms, without necessarily understanding attack methods. Using authentication as the main focus, we introduce our canonical representation and define various categories of contextual information commonly used by cognitive security architectures to handle authentication requirements, and highlight key advantages and disadvantages of each category. We then examine three grand challenges facing the cognitive security research including the tension between automation and security, the unintended consequences of using machine learning techniques as a basis for making security decisions, and the revocation problem in the context of cognitive security. We conclude by offering some insight into solution approaches to these challenges.","0890-8044;08908044","","10.1109/MNET.2016.7513866","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7513866","","Authentication;Cognitive radio;Learning (artificial intelligence);Machine learning;Mobile communication;Network security;Wireless networks","cognitive radio;learning (artificial intelligence);mobile radio;telecommunication security","autonomous trust management;cognitive security architectures;embedded devices;machine learning techniques;mobile networks;mobile/embedded autonomous devices;network security;personal wearable;sensor data;smart devices","","","","","","","July-August 2016","","IEEE","IEEE Journals & Magazines"
"An In-Depth Context-Awareness Framework for Pervasive Video Cloud","W. Zhang; P. Duan; L. Chen","Dept. of Software Eng., China Univ. of Pet., Qingdao, China","2015 IEEE 12th Intl Conf on Ubiquitous Intelligence and Computing and 2015 IEEE 12th Intl Conf on Autonomic and Trusted Computing and 2015 IEEE 15th Intl Conf on Scalable Computing and Communications and Its Associated Workshops (UIC-ATC-ScalCom)","20160721","2015","","","543","549","We claim that context-awareness for big data should be more in-depth than that of classical one, due to complexities of big data. Intelligent video data processing based on video cloud plays an important role for some applications such as public security and transportation. The existing work on context-awareness can not work properly on pervasive video cloud due to the intrinsic complexities of big video data. Therefore, in this paper we propose an in-depth context-awareness framework for pervasive video cloud in order to know the underlying contexts in big video data, based on deep learning techniques. We have conducted initial evaluations to show the effectiveness of the proposed approach, including the prediction of workload for cloud nodes, and the recognition of targets in the video at real time.","","Electronic:978-1-4673-7211-4; POD:978-1-4673-7212-1","10.1109/UIC-ATC-ScalCom-CBDCom-IoP.2015.110","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7518289","","Cloud computing;Context;Feature extraction;Image recognition;Machine learning;Sparks;Vehicles","Big Data;cloud computing;learning (artificial intelligence);object detection;ubiquitous computing;video signal processing","big video data;cloud nodes;context-awareness framework;deep learning techniques;pervasive video cloud;target recognition;workload prediction","","","","","","","10-14 Aug. 2015","","IEEE","IEEE Conference Publications"
"A silicon anti-virus engine","A. Tang; J. Demme; S. Sethumadhavan; S. Stolfo","","2015 IEEE Hot Chips 27 Symposium (HCS)","20160707","2015","","","1","1","This article consists of a single slide from the authors' conference presentation. The topics include: Growing Malware Threats; Limitations of Software Anti-Virus; Catching Seen Malware; and Catching Unseen Malware.","","Electronic:978-1-4673-8885-6; POD:978-1-4673-8886-3","10.1109/HOTCHIPS.2015.7477477","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7477477","","Feature extraction;Linux;Machine learning;Malware;Spyware;Supervised learning;Trojan horses;Unsupervised learning","computer viruses","malware threats;silicon antivirus engine;software antivirus;unseen malware","","","","","","","22-25 Aug. 2015","","IEEE","IEEE Conference Publications"
"Multi-modality stacked deep polynomial network based feature learning for Alzheimer's disease diagnosis","X. Zheng; J. Shi; Y. Li; X. Liu; Q. Zhang","School of Communication and Information Engineering, Shanghai University","2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI)","20160616","2016","","","851","854","Feature representation is the critical factor for the computer-aided Alzheimer's disease (AD) diagnosis. Deep polynomial network (DPN) is a novel deep learning algorithm, which can effectively learn feature representation from small samples. In this work, a stacked DPN (S-DPN) algorithm is proposed to further improve feature representation. We then propose a multi-modality S-DPN (MM-S-DPN) algorithm to fuse multi-modality neuroimaging data and learn more discriminative and robust feature representation for AD classification. Experiments are performed on ADNI dataset with MRI and PET images as multi-modality data. The results indicate that S-DPN is superior to DPN and stacked auto-encoder algorithms. Moreover, MM-S-DPN achieves best performance compared with single-modality S-DPN and other multi-modality feature learning based algorithms.","","Electronic:978-1-4799-2349-6; POD:978-1-4799-2351-9","10.1109/ISBI.2016.7493399","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7493399","Alzheimer's Disease;Deep Learning;Multi-modality Stacked Deep Polynomial Network","Classification algorithms;Diseases;Machine learning;Magnetic resonance imaging;Neuroimaging;Positron emission tomography;Training","","","","1","","12","","","13-16 April 2016","","IEEE","IEEE Conference Publications"
"Disease Diagnosis Supported by Hierarchical Temporal Memory","Y. Fu; X. Guo; Y. Xie; D. Zhang; H. Li","Beijing Key Lab. of Knowledge Eng. for Mater. Sci., Univ. of Sci. & Technol. Beijing, Beijing, China","2015 IEEE 12th Intl Conf on Ubiquitous Intelligence and Computing and 2015 IEEE 12th Intl Conf on Autonomic and Trusted Computing and 2015 IEEE 15th Intl Conf on Scalable Computing and Communications and Its Associated Workshops (UIC-ATC-ScalCom)","20160721","2015","","","863","870","Hierarchical Temporal Memory (HTM) is an advanced machine learning technique that aims to capture the structural and algorithmic properties of the neocortex. It is an online machine learning method and can make predictions and classifications. This paper is an application of the HTM theory. We use the HTM theory to diagnose diseases. First, we encode the cases of the patients into the format that can be recognized by the HTM. Second, we train the HTM by using the encoded cases. At last, we can predict the disease of a patient according to the symptoms. We do experiments on real nephrosis diagnostic datasets. The experimental results show that we can predict the diseases accurately and efficiently.","","Electronic:978-1-4673-7211-4; POD:978-1-4673-7212-1","10.1109/UIC-ATC-ScalCom-CBDCom-IoP.2015.168","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7518347","Classification;Disease Diagnosis;Hierarchical Temporal Memory;Prediction","Diseases;Encoding;Joining processes;Libraries;Machine learning algorithms;Neurons","diseases;learning (artificial intelligence);medical computing;patient diagnosis;pattern classification;storage management","HTM theory;advanced machine learning technique;algorithmic properties;case encoding;disease diagnosis;hierarchical temporal memory;neocortex;nephrosis diagnostic datasets;online machine learning method;structural properties","","","","","","","10-14 Aug. 2015","","IEEE","IEEE Conference Publications"
"Challenges in Perception and Decision Making for Intelligent Automotive Vehicles: A Case Study","B. Okumura; M. R. James; Y. Kanzawa; M. Derry; K. Sakai; T. Nishi; D. Prokhorov","Toyota Motor Corporation, Toyota, Aichi, Japan","IEEE Transactions on Intelligent Vehicles","20160720","2016","1","1","20","32","This paper overviews challenges in perception and decision making for intelligent, or highly automated, automotive vehicles. We illustrate our development of a complete perception and decision making system which addresses various challenges and propose an action planning method for highly automated vehicles which can merge into a roundabout. We use learning from demonstration to construct a classifier for high-level decision making, and develop a novel set of formulations that is suited to this challenging situation: multiple agents in a highly dynamic environment with interdependencies between agents, partial observability, and a limited amount of training data. Having limited amount of labeled training data is highly constraining, but a very real issue in real-world applications. We believe that our formulations are also well suited to other automated driving scenarios.","2379-8858;23798858","","10.1109/TIV.2016.2551545","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7448943","Autonomous driving;classifier;finite state machine;high-definition lidar;high-fidelity map;learning from demonstration;robot;roundabout;state representation","Automata;Decision making;Laser radar;Machine learning;Robot sensing systems;Support vector machine classification","automobiles;intelligent transportation systems;learning (artificial intelligence);pattern classification","action planning method;agent interdependencies;automated driving scenarios;decision making;dynamic environment;intelligent-highly automated-automotive vehicles;labeled training data;learning-from-demonstration;partial-observability;pattern classifier;perception;roundabout","","1","","48","","20160407","March 2016","","IEEE","IEEE Journals & Magazines"
"Place Classiﬁcation with a Graph Regularized Deep Neural Network","Y. Liao; S. Kodagoda; Y. Wang; L. Shi; Y. Liu","Yiyi Liao is with the State Key Laboratory of Industrial Control Technology and Institute of Cyber-Systems and Control, Zhejiang University, Zhejiang, 310027, China. (email: yyliao@iipc.zju.edu.cn)","IEEE Transactions on Cognitive and Developmental Systems","","2016","PP","99","1","1","Place classification is a fundamental ability that a robot should possess to carry out effective human-robot interactions. In recent years, there is a high exploitation of Artificial Intelligence algorithms in robotics applications. Inspired by the recent successes of deep learning methods, we propose an end-to-end learning approach for the place classification problem. With deep architectures, this methodology automatically discovers features and contributes in general to higher classification accuracies. The pipeline of our approach is composed of three parts. Firstly, we construct multiple layers of laser range data to represent the environment information in different levels of granularity. Secondly, each layer of data is fed into a deep neural network for classification, where a graph regularization is imposed to the deep architecture for keeping local consistency between adjacent samples. Finally, the predicted labels obtained from all layers are fused based on confidence trees to maximize the overall confidence. Experimental results validate the effectiveness of our end-to-end place classification framework in which both the multi-layer structure and the graph regularization promote the classification performance. Furthermore, results show that the features automatically learned from the raw input range data can achieve competitive results to the features constructed based on statistical and geometrical information.","2379-8920;23798920","","10.1109/TCDS.2016.2586183","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7501830","Place classification;deep learning;graph regularization","Feature extraction;Lasers;Machine learning;Robot kinematics;Robot sensing systems","","","","","","","","20160629","","","IEEE","IEEE Early Access Articles"
