"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=6407938,6190348,6021869,6052374,5764653,5457560,5364937,4457186,4457188,4457187,4457185,4312478,4135796,4130403,4117919,4067084,4053689,4041456,4041455,4041457,4041458,4032926,4033008,1607416,1607418,1607417,1607419,1597276,1593350,1593634,1576794,1577009,1463239,1422946,1420361,1408069,1406426,1384524,1384522,1383481,1378170,1382258,1382256,1380340,1380568,1382110,1380342,1382108,1381967,1380564,1381969,1378168,1386255,1386441,1356043,1259959,1259821,1259691,1259555,1174376,1176694,1175323,1167377,919274,7917288,7913581,7906470,7899800,7907343,7906593,7899817,7890303,7890275,7891506,7890294,7888051,7886083,7886701,7880264,7585110,7335648,7433451,7872770,7873552,7874153,7872463,7866205,7867395,7866514,7867793,7863294,7822922,7860998,7858851,7853634,7478156,7436772,7404267,7676308,7850129",2017/05/04 23:50:41
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Session TP8b1: Machine-learning-based statistical signal processing","P. Schniter","","2011 Conference Record of the Forty Fifth Asilomar Conference on Signals, Systems and Computers (ASILOMAR)","20120426","2011","","","1874","1876","Start of the above-titled section of the conference proceedings record.","1058-6393;10586393","Electronic:978-1-4673-0323-1; POD:978-1-4673-0321-7","10.1109/ACSSC.2011.6190348","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6190348","","","","","","0","","","","","6-9 Nov. 2011","","IEEE","IEEE Conference Publications"
"Proceedings of 2004 International Conference on Machine Learning and Cybernetics","","","Proceedings of 2004 International Conference on Machine Learning and Cybernetics (IEEE Cat. No.04EX826)","20050124","2004","2","","0_3","0_3","Presents the title -page of the proceedings record.","","POD:0-7803-8403-2","10.1109/ICMLC.2004.1382258","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1382258","","","","","","0","","","","","26-29 Aug. 2004","","IEEE","IEEE Conference Publications"
"Proceedings of 2002 International Conference on Machine Learning and Cybernetics (Cat.No.02EX583)","","","Proceedings. International Conference on Machine Learning and Cybernetics","20030219","2002","2","","","","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01174376.png"" border=""0"">","","POD:0-7803-7508-4","10.1109/ICMLC.2002.1174376","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1174376","","","cybernetics;learning (artificial intelligence)","CUK converter;Chinese POS tagging;Chinese free text based;Corba/Java technology;Earth-rock allocation management;MPSOF;Msminer;PWM controller;RIDAS;S-rough sets;Web mining-based intelligent search engine;adaptive RBF network structure learning algorithm;adaptive synchronization;algorithm fusion;anthropomorphic intelligent PID control;antibody clone algorithms;attribute reduction approach;autonomous underwater vehicle;binary classification;chaos;check OCR system;check reader;clonal operator;cluster NFS server;clustering algorithm;coalition formation;combinatorial auctions;communication performance optimization;complex container loading problem;composite controller;compositional modeling;computational complexity;cooperative path planning;data cleaning;data clustering;data distributions automatic identification;data mining;decision tree;delayed cellular neural networks;diagnosis recognition;digital elevation annotation;document logic structure;dynamic knowledge representation;dynamic multicast grouping approach;dynamic programming algorithm;economic emission load dispatch;eddy current nondestructive testing;electro-hydraulic control systems;entropy-based discretization method;fast learning algorithm;fault diagnosis;feedforward neural networks;flow shop scheduling;fuzzy case-based reasoning;fuzzy learning neural networks;fuzzy logic control;fuzzy logical space;fuzzy systems;fuzzy vibration fault diagnosis system;genetic algorithm;glass bottle defect detection system;grinding plant;human-computer interaction;hybrid knowledge representation;image representation;immune self-adaptation wavelet;inclusion degree theory;information extraction;information-theoretic measures;intelligent resource planning;inverted pendulum control;iris recognition system;job shop scheduling problem;knowledge aggregation;knowledge-increasable learning behaviors;local-to-holistic face recognition;mathematical-expressions-based knowledge discovery;matrix computation;minimum mean square error linear estimator;model information metric;modified Elman neural network;multi-agent system;multi-model adaptive control;multiple air vehicles;multiple discriminant analysis method;multistage games;network-based intrusion detection;neural networks modeling;nonlinear control;normal intuitionistic fuzzy subgroups;observer design;optimal decision rules;optimizing index;probability limit property;probing modification;projection-reduction algorithm;real time robot visual servoing;real-time vehicle flow-measuring algorithm;ridge regression;rule extraction;scalable secure active network node;self-adaptive Smith predictive control;semantic-based image retrieval system;semi-structured data;sensor fusion;shadow detector;sliding mode control;soccer robot system;social cognition model;soft computing;spam categorization;sparse-feature-based face detector;statistics-based fuzzy operator;stereo camera system;stock market;superconducting magnetic bearing;support vector machines;switched reluctance motor drive;telecommunication network management;terminology translations;text retrieval;time series forecasting mod;time-variable-parametric relaxation labeling;traditional Chinese medicine recognition;wastewater treatment process;weather prediction","","0","","","","","4-5 Nov. 2002","","IEEE","IEEE Conference Publications"
"PCA and Kernel-based extreme learning machine for side-scan sonar image classification","M. Zhu; Y. Song; J. Guo; C. Feng; G. Li; T. Yan; B. He","School of Information Science and Engineering, Ocean University of China, Songling Road No. 238, Qingdao, China","2017 IEEE Underwater Technology (UT)","20170403","2017","","","1","4","As an important role of oceanographic survey, side-scan sonar image classification has attracted much attention in the past two decades. Due to the special properties of sonar image, traditional approaches are difficult to get good classification accuracy, so their implementation in real world is blocked. In this paper, a novel classification system based on kernel-based extreme learning machine (KELM) and principle component analysis (PCA) is proposed. Experimental results demonstrate that the proposed method can get better stability and higher classification accuracy than traditional approaches such as support vector machine (SVM).","","Electronic:978-1-5090-5266-0; POD:978-1-5090-5267-7","10.1109/UT.2017.7890275","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7890275","Image Classification;KELM;PCA;Side-Scan Sonar","Eigenvalues and eigenfunctions;Feature extraction;Image classification;Neural networks;Principal component analysis;Sonar;Support vector machines","feedforward neural nets;geophysical image processing;image classification;learning (artificial intelligence);oceanographic techniques;principal component analysis;sonar imaging","KELM;PCA;kernel-based extreme learning machine;oceanographic survey;principle component analysis;side-scan sonar image classification;single-hidden layer feedforward neural network;underwater signal return classification;underwater signal return identification","","","","","","","21-24 Feb. 2017","","IEEE","IEEE Conference Publications"
"2005 IEEE Workshop on Machine Learning for Signal Processing","","","IEEE Signal Processing Letters","20050418","2005","12","5","431","431","Prospective authors are requested to submit new, unpublished manuscripts for inclusion in the upcoming event described in this call for papers.","1070-9908;10709908","","10.1109/LSP.2005.848057","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1420361","","","","","","0","","","","","May 2005","","IEEE","IEEE Journals & Magazines"
"Proceedings of 2004 International Conference on Machine Learning and Cybernetics","","","Proceedings of 2004 International Conference on Machine Learning and Cybernetics (IEEE Cat. No.04EX826)","20050124","2004","2","","0_1","0_1","Presents the front cover or splash screen of the proceedings.","","POD:0-7803-8403-2","10.1109/ICMLC.2004.1382256","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1382256","","","","","","0","","","","","26-29 Aug. 2004","","IEEE","IEEE Conference Publications"
"2007 IEEE Workshop on Machine Learning for Signal Processing","","","IEEE Signal Processing Letters","20070319","2007","14","4","295","295","Prospective authors are requested to submit new, unpublished manuscripts for inclusion in the upcoming event described in this call for papers.","1070-9908;10709908","","10.1109/LSP.2007.894752","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4130403","","","","","","0","","","","","April 2007","","IEEE","IEEE Journals & Magazines"
"Automatic detection of learning styles in learning management system by using literature-based method and support vector machine","E. S. Amir; M. Sumadyo; D. I. Sensuse; Y. G. Sucahyo; H. B. Santoso","Faculty of Computer Science, Universitas Indonesia, Depok, Jawa Barat, Indonesia","2016 International Conference on Advanced Computer Science and Information Systems (ICACSIS)","20170309","2016","","","141","144","Each learner has their own preferences in the learning process. Differences in preferences are closely related to the learning style of each learner. Personalization of e-learning is an overview of online learning that has been customized content based on learning styles of each learner. Detecting learning style needs a technique that is effective and accurate. This study combines literature based method with Support Vector Machine (SVM) to detect students' learning styles. The data used is learning log data of Data Structures and Algorithms class at the Faculty of Computer Science, Universitas Indonesia. The test results showed that SVM has better accuracy compared to Naive Bayes.","","Electronic:978-1-5090-4629-4; POD:978-1-5090-4630-0; USB:978-1-5090-4628-7","10.1109/ICACSIS.2016.7872770","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7872770","E-learning Personalization;SVM;automatic detection;learning style","Computer science;Data models;Electronic learning;Labeling;Learning management systems;Optimization;Support vector machines","Bayes methods;data structures;educational institutions;learning management systems;support vector machines","Naive Bayes;SVM;Universitas Indonesia;automatic earning styles detection;data structures;faculty of computer science;learning management system;literature-based method;online learning;support vector machine","","","","","","","15-16 Oct. 2016","","IEEE","IEEE Conference Publications"
"Trends in Machine Learning for Signal Processing [In the Spotlight]","T. Adali; D. J. Miller; K. I. Diamantaras; J. Larsen","A professor at the University of Maryland, Baltimore County.","IEEE Signal Processing Magazine","20111031","2011","28","6","193","196","By putting the accent on learning from the data and the environment, the Machine Learning for SP (MLSP) Technical Committee (TC) provides the essential bridge between the machine learning and SP communities. While the emphasis in MLSP is on learning and data-driven approaches, SP defines the main applications of interest, and thus the constraints and requirements on solutions, which include computational efficiency, online adaptation, and learning with limited supervision/reference data.","1053-5888;10535888","","10.1109/MSP.2011.942319","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6021869","","Distributed databases;Emotion recognition;Learning systems;Machine learning;Speech recognition","","","","3","","","","","Nov. 2011","","IEEE","IEEE Journals & Magazines"
"2003 International Conference On Machine Learning And Cybernetics [front matter]","","","Proceedings of the 2003 International Conference on Machine Learning and Cybernetics (IEEE Cat. No.03EX693)","20040121","2003","3","","0_1","xxxiv","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","POD:0-7803-7865-2","10.1109/ICMLC.2003.1259691","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1259691","","","","","","0","","","","","5-5 Nov. 2003","","IEEE","IEEE Conference Publications"
